,5176885,1130393,4946731,5021653,5303443,4985838,1305547,1305566,4989496,4975585,56067,430206,4973861,5088884,5252535,5036541,1130363,5150491,3023233,5006126,5184148,5182681,3529752,387656,5064056,4958540,5214149,5122032,5152342,5068675,5211714,5092357,5365023,5133736,3291476,2881657,2881652,5282287,4384948,4996251,5093544,5018850,5208648,5184793,5073108,5107933,5136989,3815851,4976186,4644248,5202331,919968,2903685,5146690,5096479,2544358,2903702,5131940,5037081,5200344,4999275,5096496,3529749,5027416,5162716,942746,2060484,56054,5333384,5332904,5251075,1305574,4934149,5073036,5288996,5191131,1283998,5044119,1130398,5280127,5295535,2544366,5091375,5022482,5214034,3380845,201747,4992084,5305298,5258771,4214091,5101263,3772929,5348703,990848,5001912,5128523,1567544,5063044,5228863,5160426,2060501,5090253,4957029,1130399,2881662,5043613,5226811,5267237,1567555,247608,883875,4990450,2927113,5011676,3291466,5020529,5058631,5110311,4644245,1305577,5159401,1567573,4899418,5263305,247629,4944663,5268948,3291459,5185977,3291451,3534504,5398227,5303313,4644264,5231633,3815833,3291463,5176593,5284636,5120344,5109101,5179882,5029478,4384955,5061602,4958406,883889,5288569,3791062,5255118,3772909,5216078,4977443,3134786,5078051,5066124,4994726,5082377,5055843,5343740,5209508,5058098,5136999,5382059,5152869,2544367,5294970,5184883,4981069,5128803,4986195,1567560,5266614,3529730,4449004,3380837,4973650,5129245,5236971,5140582,942747,5063900,2544376,5109592,5162300,5190663,4384958,5004555,3291469,5147264,5103186,990833,5213718,990834,5141534,75579,4962253,5003112,5130225,5152623,5146014,5246451,5142414,5036599,1305583,5385551,4940937,5136279,3791048,5161738,919966,5121594,942745,201752,883883,5225469,5063310,4994243,5034545,4985696,5142795,5251184,2927086,247597,5351035,5032866,2927096,4970381,5370395,5361020,5078078,3815857,5348956,5309522,919964,5140415,1305555,5157273,4971171,2544369,4996555,5390354,5086495,5188474,5218857,3534511,3023221,247623,5324105,5047663,5285968,5007504,5047250,5014471,4955065,5372808,990847,990846,919935,5021489,883876,5220070,4945128,5166730,430217,5009595,5104695,5286783,5062802,1567571,4933871,990836,1130375,3534519,5427120,5217146,2927080,4384947,5053302,5158232,3815836,5078712,3908271,5318056,5245604,4998903,5087817,5118088,1130384,5041127,919959,5336942,5153487,5035885,4972419,4949920,5065889,5152345,5133299,5364892,2927111,3815850,5081645,5196870,5104939,3815854,4723625,5322902,5190377,5057874,2544389,883884,5018164,5085222,5094667,387648,247625,5187198,5207713,4449008,4979479,5257456,1130385,5322779,5145267,1567556,2426878,5172127,5354146,5021422,5065190,4990323,1284024,4723636,5028114,2544351,5190987,4988360,5221511,3520815,5110914,5352152,990844,5342039,5202387,383892,5326342,2544365,5190064,247611,5070328,5043918,4342675,5279326,3815852,5087593,5347255,5082428,5047924,3772930,5154779,5002904,2927103,5026811,5107012,4986565,1284000,4982642,5047514,4991462,5169724,5279410,5317249,5043245,387650,5110796,5391930,5171630,4991316,3791065,990842,5305191,4938406,5341723,5212159,5355182,5200559,5126118,5119762,5383552,4956905,5201149,5136983,5221580,5176761,972808,3023230,4969824,3791060,430236,4214107,919971,5165486,5105701,5149194,5167432,4214102,2544383,1305564,5180941,3380846,3534494,5055594,942715,430222,5142627,5340461,5185774,5176540,5092232,2881654,5180089,5010725,4946061,5198644,3380829,3520813,3291456,5135090,4999296,5109946,5206116,5182289,4933389,1284016,387652,5211719,4342679,3772921,2927105,5243007,4932261,4864801,5273379,1130370,5248825,5013662,3023219,5237932,3534514,5093719,2544362,5297197,5081982,3772910,5253419,919967,3772919,3791067,3380839,4991454,5297013,5268938,4949413,4990838
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.59397,0.6616,0.64729,0.05944,0.6427,0.64834,0.53124,0.64426,0.35545,0.43395,0.37846,0.57679,0.65423,0.47021,0.63977,0.17372,0.65833,0.39863,0.52476,0.44036,0.64115,0.66143,0.60775,0.65624,0.65898,0.51536,0.64108,0.26555,0.65563,0.66358,0.65748,0.65772,0.50524,0.60168,0.65653,0.49301,0.44133,0.50845,0.6438,0.64053,0.58687,0.30343,0.43291,0.55356,0.57799,0.14974,0.66596,0.67085,0.48137,0.64338,0.63743,0.66781,0.27666,0.55854,0.51701,0.64094,0.4875,0.43116,0.63831,0.20966,0.39643,0.56836,0.52225,0.66275,0.19599,0.66706,0.36843,0.2494,0.64581,0.34515,0.47687,0.48234,0.62383,0.65245,0.60722,0.51809,0.67131,0.66197,0.6554,0.63905,0.06294,0.64789,0.66186,0.63982,0.56443,0.67052,0.67056,0.32303,0.64923,0.65841,0.18508,0.51565,0.65459,0.66082,0.64897,0.65937,0.64585,0.66897,0.45489,0.64897,0.44421,0.45545,0.36122,0.66028,0.65897,0.56242,0.66271,0.6676,0.65293,0.43456,0.65238,0.49954,0.67126,0.64086,0.65613,0.65779,0.45958,0.25314,0.38084,0.63858,0.64752,0.66516,0.66566,0.63847,0.36078,0.66602,0.52907,0.52125,0.65848,0.64559,0.65573,0.44178,0.56294,0.14105,0.6456,0.42628,0.65924,0.6586,0.61945,0.6465,0.54884,0.59037,0.64642,0.65783,0.31644,0.65592,0.66548,0.57666,0.64379,0.23445,0.65253,0.20415,0.66881,0.35661,0.45193,0.66655,0.46199,0.50086,0.67139,0.65312,0.56435,0.49687,0.53313,0.64684,0.3271,0.64521,0.64544,0.6554,0.64879,0.25344,0.32326,0.664,0.60169,0.65096,0.30442,0.47268,0.50982,0.63653,0.29581,0.6401,0.54153,0.66662,0.66987,0.64516,0.49324,0.61199,0.66449,0.64372,0.65889,0.66079,0.65768,0.34417,0.6487,0.5906,0.64642,0.54609,0.16932,0.35843,0.64052,0.65802,0.30639,0.65356,0.26996,0.31287,0.65305,0.64993,0.40008,0.64734,0.64521,0.16284,0.47341,0.66068,0.65238,0.66808,0.42852,0.52554,0.66785,0.36561,0.64245,0.64614,0.63195,0.1578,0.53896,0.1743,0.66906,0.41245,0.65577,0.32432,0.62853,0.44357,0.64865,0.38745,0.66941,0.06754,0.65104,0.66625,0.33746,0.64255,0.65755,0.61695,0.64653,0.67166,0.66475,0.35114,0.15107,0.65765,0.66884,0.31206,0.66852,0.64239,0.65596,0.30793,0.55162,0.6434,0.62206,0.58739,0.33543,0.64422,0.64661,0.66866,0.65162,0.3459,0.15604,0.598,0.19487,0.22833,0.66047,0.65555,0.67118,0.66114,0.66458,0.66181,0.64523,0.6615,0.54535,0.64482,0.64544,0.2598,0.64517,0.47968,0.64491,0.66653,0.56204,0.16445,0.61465,0.35505,0.65108,0.24387,0.59928,0.66501,0.58349,0.66856,0.34042,0.49955,0.65042,0.56387,0.12092,0.06463,0.66389,0.65567,0.65186,0.64242,0.3993,0.65432,0.66043,0.64287,0.66721,0.61713,0.67097,0.64429,0.66418,0.65108,0.51604,0.66983,0.57095,0.65453,0.65523,0.66369,0.6602,0.64132,0.28125,0.61579,0.66221,0.65911,0.66605,0.66235,0.66461,0.16646,0.06376,0.43821,0.64871,0.46121,0.39413,0.6622,0.55764,0.65211,0.60168,0.61005,0.50238,0.43582,0.46237,0.55759,0.64242,0.64627,0.66809,0.64672,0.26331,0.34237,0.64816,0.65678,0.66724,0.66326,0.6388,0.25697,0.6503,0.62465,0.59408,0.59874,0.64504,0.41743,0.60465,0.49799,0.65594,0.56084,0.29201,0.65045,0.66716,0.66805,0.3995,0.13581,0.64048,0.63652,0.15445,0.55605,0.64657,0.65678,0.64711,0.19514,0.5409,0.65266,0.55253,0.64939,0.23066,0.55743,0.65304,0.64989,0.47512,0.66309,0.64947,0.64132,0.66173,0.48991,0.46313,0.64211,0.49293,0.65859,0.55558,0.54267,0.53116,0.39779,0.46718,0.41745,0.66339,0.60018,0.64704,0.65951,0.66348,0.08186,0.649,0.64525,0.19391,0.66841,0.66414,0.12698,0.55128,0.32682,0.63554,0.6263,0.06545,0.64547,0.24879,0.41763,0.3767,0.58359,0.66929,0.5677,0.66877,0.53153,0.66334,0.65585,0.44821,0.65363,0.54442,0.54857,0.51608,0.66042,0.65602,0.65138,0.22537,0.66484,0.47371,0.66565,0.66483,0.36041,0.25031,0.66351,0.16372,0.67274,0.51022,0.32452,0.66935,0.60145,0.64734,0.6632,0.45556,0.47689,0.65817,0.66357,0.56005,0.56885,0.39254,0.39464,0.66529,0.6617,0.65516,0.64881
2,0.86897,1.0,1.0,0.08675,1.0,1.0,0.81848,1.0,0.52068,0.63702,0.55755,0.88558,1.0,0.68972,1.0,0.26873,1.0,0.5821,0.7703,0.64427,1.0,1.0,0.89158,1.0,1.0,0.79478,1.0,0.389,1.0,1.0,1.0,1.0,0.7411,0.92896,1.0,0.76237,0.67945,0.78447,1.0,1.0,0.90574,0.46692,0.6708,0.85572,0.84637,0.23095,1.0,1.0,0.70335,1.0,0.93408,1.0,0.40631,0.82063,0.75772,1.0,0.71509,0.63028,0.99603,0.30646,0.57908,0.83012,0.76543,1.0,0.28595,1.0,0.53844,0.36595,1.0,0.50464,0.73817,0.74545,0.96198,1.0,0.89147,0.79799,1.0,1.0,1.0,0.99545,0.09216,1.0,1.0,0.99375,0.82754,0.99981,1.0,0.49919,1.0,1.0,0.28552,0.75897,0.95944,1.0,1.0,1.0,1.0,0.99834,0.70055,1.0,0.6828,0.6673,0.52735,1.0,1.0,0.86615,1.0,1.0,1.0,0.63708,0.95342,0.76925,0.99052,1.0,1.0,1.0,0.67026,0.39152,0.56024,1.0,1.0,1.0,1.0,0.9993,0.5577,1.0,0.7741,0.76219,1.0,1.0,0.9604,0.64932,0.86661,0.21854,1.0,0.65552,0.96473,1.0,0.95361,1.0,0.84676,0.91249,1.0,1.0,0.48572,1.0,1.0,0.88776,1.0,0.34423,1.0,0.2975,0.99359,0.54927,0.6622,1.0,0.67811,0.73581,0.99664,1.0,0.87132,0.76174,0.82128,1.0,0.47908,1.0,1.0,1.0,1.0,0.37339,0.49726,1.0,0.88212,1.0,0.44369,0.68964,0.75195,0.98268,0.45626,0.99014,0.83413,1.0,1.0,1.0,0.75925,0.94288,1.0,1.0,1.0,1.0,1.0,0.53102,1.0,0.86283,1.0,0.83911,0.26241,0.52581,0.98749,1.0,0.47246,1.0,0.3951,0.45848,1.0,1.0,0.61779,1.0,1.0,0.23798,0.72839,1.0,1.0,1.0,0.62877,0.81179,1.0,0.56415,1.0,0.94484,0.92926,0.23171,0.82968,0.27065,1.0,0.63743,1.0,0.49963,0.96794,0.68048,1.0,0.56643,1.0,0.09954,1.0,1.0,0.49193,1.0,1.0,0.95029,1.0,1.0,1.0,0.54133,0.22053,1.0,1.0,0.45716,1.0,1.0,0.96435,0.44966,0.80799,1.0,0.90958,0.90755,0.49328,1.0,1.0,1.0,1.0,0.52956,0.22686,0.87394,0.29981,0.35206,1.0,0.96447,0.98512,1.0,1.0,1.0,1.0,1.0,0.80157,1.0,1.0,0.40077,1.0,0.73716,1.0,1.0,0.86552,0.24021,0.94854,0.54749,1.0,0.35927,0.91933,1.0,0.89594,0.99855,0.52498,0.73235,1.0,0.82677,0.18774,0.09487,1.0,1.0,1.0,1.0,0.58482,1.0,1.0,1.0,1.0,0.90219,0.99174,1.0,1.0,1.0,0.79385,1.0,0.83865,1.0,1.0,1.0,1.0,1.0,0.41179,0.9461,1.0,1.0,1.0,1.0,1.0,0.25792,0.09318,0.67427,1.0,0.70977,0.61013,1.0,0.81663,1.0,0.92964,0.93393,0.77048,0.67197,0.67774,0.85826,1.0,1.0,1.0,1.0,0.40795,0.50024,1.0,1.0,1.0,1.0,0.98646,0.39754,1.0,0.91479,0.91692,0.88022,1.0,0.64566,0.88928,0.76693,1.0,0.86194,0.4285,1.0,1.0,1.0,0.61452,0.21162,0.98678,1.0,0.23897,0.85529,1.0,1.0,1.0,0.30254,0.79502,1.0,0.81246,1.0,0.35557,0.85894,1.0,1.0,0.69825,1.0,1.0,1.0,1.0,0.71729,0.67612,1.0,0.72319,0.9659,0.85506,0.79327,0.77415,0.58003,0.71758,0.64102,1.0,0.92403,1.0,1.0,1.0,0.1255,1.0,1.0,0.28329,0.99592,0.97848,0.19533,0.80914,0.5024,0.9341,0.92086,0.09555,1.0,0.386,0.6436,0.55366,0.85701,1.0,0.83281,0.97722,0.77707,1.0,1.0,0.65152,1.0,0.83807,0.84164,0.79678,1.0,1.0,1.0,0.34788,0.97635,0.73016,1.0,1.0,0.55686,0.36607,1.0,0.24016,1.0,0.74759,0.47492,0.98772,0.88252,1.0,1.0,0.70231,0.69478,1.0,1.0,0.82097,0.83102,0.57252,0.57601,1.0,1.0,1.0,1.0
3,0.88465,1.0,1.0,0.10232,1.0,1.0,0.83533,1.0,0.53606,0.65267,0.57266,0.90313,1.0,0.70415,1.0,0.28515,1.0,0.59706,0.78543,0.65999,1.0,1.0,0.90662,1.0,1.0,0.81157,1.0,0.40499,1.0,1.0,1.0,1.0,0.75697,0.94594,1.0,0.77943,0.69606,0.80182,1.0,1.0,0.92298,0.48363,0.68792,0.87332,0.8616,0.24816,1.0,1.0,0.71872,1.0,0.94876,1.0,0.42149,0.83595,0.77285,1.0,0.73036,0.6447,1.0,0.3221,0.59439,0.84502,0.78164,1.0,0.30205,1.0,0.55357,0.38112,1.0,0.51981,0.75458,0.76244,0.9792,1.0,0.90644,0.81476,1.0,1.0,1.0,1.0,0.10709,1.0,1.0,1.0,0.84332,1.0,1.0,0.51652,1.0,1.0,0.30316,0.775,0.97433,1.0,1.0,1.0,1.0,1.0,0.71772,1.0,0.69957,0.68262,0.54265,1.0,1.0,0.88339,1.0,1.0,1.0,0.65229,0.96829,0.78585,1.0,1.0,1.0,1.0,0.68532,0.40798,0.57525,1.0,1.0,1.0,1.0,1.0,0.57416,1.0,0.78901,0.77751,1.0,1.0,0.97619,0.66518,0.88372,0.23546,1.0,0.67257,0.98026,1.0,0.97099,1.0,0.86429,0.92979,1.0,1.0,0.50263,1.0,1.0,0.90411,1.0,0.35924,1.0,0.31248,1.0,0.56679,0.67746,1.0,0.6937,0.75057,1.0,1.0,0.88849,0.77881,0.83845,1.0,0.4947,1.0,1.0,1.0,1.0,0.38928,0.51365,1.0,0.89762,1.0,0.46026,0.70409,0.76701,1.0,0.47266,1.0,0.85085,1.0,1.0,1.0,0.77681,0.95963,1.0,1.0,1.0,1.0,1.0,0.54757,1.0,0.87795,1.0,0.85526,0.2797,0.54114,1.0,1.0,0.48947,1.0,0.41004,0.47394,1.0,1.0,0.63479,1.0,1.0,0.2538,0.74592,1.0,1.0,1.0,0.64413,0.82929,1.0,0.58056,1.0,0.96086,0.94444,0.24681,0.84617,0.28741,1.0,0.65502,1.0,0.5161,0.98495,0.69728,1.0,0.58194,1.0,0.11532,1.0,1.0,0.50832,1.0,1.0,0.96626,1.0,1.0,1.0,0.55814,0.23597,1.0,1.0,0.47267,1.0,1.0,0.97948,0.46466,0.82334,1.0,0.92507,0.92513,0.5095,1.0,1.0,1.0,1.0,0.54642,0.24235,0.88984,0.31669,0.36917,1.0,0.98011,0.99998,1.0,1.0,1.0,1.0,1.0,0.81748,1.0,1.0,0.41768,1.0,0.75404,1.0,1.0,0.88225,0.25585,0.96507,0.56368,1.0,0.37438,0.93578,1.0,0.91226,1.0,0.54205,0.74719,1.0,0.84217,0.20363,0.11016,1.0,1.0,1.0,1.0,0.60008,1.0,1.0,1.0,1.0,0.91768,1.0,1.0,1.0,1.0,0.81053,1.0,0.85454,1.0,1.0,1.0,1.0,1.0,0.42708,0.96248,1.0,1.0,1.0,1.0,1.0,0.27482,0.10884,0.69097,1.0,0.72614,0.62764,1.0,0.83198,1.0,0.94679,0.95042,0.78722,0.68907,0.69289,0.87498,1.0,1.0,1.0,1.0,0.42476,0.51521,1.0,1.0,1.0,1.0,1.0,0.41505,1.0,0.93011,0.93403,0.8952,1.0,0.66231,0.90465,0.78359,1.0,0.87891,0.44321,1.0,1.0,1.0,0.63185,0.22846,1.0,1.0,0.25558,0.87287,1.0,1.0,1.0,0.31956,0.81072,1.0,0.82792,1.0,0.37297,0.87647,1.0,1.0,0.71313,1.0,1.0,1.0,1.0,0.73278,0.69166,1.0,0.73878,0.9806,0.87211,0.80949,0.78994,0.59571,0.73455,0.65725,1.0,0.94157,1.0,1.0,1.0,0.14038,1.0,1.0,0.29849,1.0,0.99365,0.21206,0.82412,0.51924,0.94968,0.93598,0.11057,1.0,0.40305,0.66084,0.56868,0.87181,1.0,0.84892,0.99287,0.79281,1.0,1.0,0.66651,1.0,0.85479,0.85915,0.81321,1.0,1.0,1.0,0.36495,0.99154,0.74703,1.0,1.0,0.5737,0.38176,1.0,0.25626,1.0,0.76256,0.49055,1.0,0.89803,1.0,1.0,0.71981,0.71,1.0,1.0,0.83602,0.84645,0.58817,0.5914,1.0,1.0,1.0,1.0
4,0.90184,1.0,1.0,0.11935,1.0,1.0,0.85036,1.0,0.55341,0.66957,0.58943,0.91888,1.0,0.72145,1.0,0.30028,1.0,0.61352,0.80229,0.67713,1.0,1.0,0.92332,1.0,1.0,0.82669,1.0,0.42241,1.0,1.0,1.0,1.0,0.77331,0.96119,1.0,0.7943,0.71145,0.81732,1.0,1.0,0.93797,0.49871,0.70322,0.88821,0.87833,0.26344,1.0,1.0,0.73607,1.0,0.9659,1.0,0.4384,0.8527,0.79032,1.0,0.7469,0.6622,1.0,0.33842,0.61179,0.86241,0.79769,1.0,0.31837,1.0,0.57067,0.3978,1.0,0.53661,0.76996,0.77839,0.98559,1.0,0.92321,0.83076,1.0,1.0,1.0,1.0,0.12376,1.0,1.0,1.0,0.86026,1.0,1.0,0.53168,1.0,1.0,0.31811,0.79205,0.98338,1.0,1.0,1.0,1.0,1.0,0.73319,1.0,0.71517,0.69964,0.55923,1.0,1.0,0.89875,1.0,1.0,1.0,0.66923,0.97952,0.80156,1.0,1.0,1.0,1.0,0.70177,0.42286,0.59158,1.0,1.0,1.0,1.0,1.0,0.58963,1.0,0.80641,0.7948,1.0,1.0,0.98487,0.68189,0.89904,0.2508,1.0,0.68771,0.98684,1.0,0.98034,1.0,0.87955,0.94501,1.0,1.0,0.5181,1.0,1.0,0.91868,1.0,0.37665,1.0,0.32876,1.0,0.58182,0.69387,1.0,0.71051,0.76763,1.0,1.0,0.90359,0.79487,0.85367,1.0,0.51227,1.0,1.0,1.0,1.0,0.40605,0.52911,1.0,0.91504,1.0,0.47749,0.72182,0.78416,1.0,0.48772,1.0,0.86576,1.0,1.0,1.0,0.79213,0.97248,1.0,1.0,1.0,1.0,1.0,0.5632,1.0,0.89536,1.0,0.87056,0.29539,0.55809,1.0,1.0,0.50417,1.0,0.42661,0.4902,1.0,1.0,0.6503,1.0,1.0,0.27077,0.76108,1.0,1.0,1.0,0.66102,0.84483,1.0,0.59614,1.0,0.97395,0.96136,0.26385,0.86205,0.30299,1.0,0.67035,1.0,0.53195,0.98975,0.71277,1.0,0.59907,1.0,0.13223,1.0,1.0,0.52563,1.0,1.0,0.97701,1.0,1.0,1.0,0.57342,0.25192,1.0,1.0,0.48944,1.0,1.0,0.98692,0.4815,0.84024,1.0,0.94168,0.94089,0.52595,1.0,1.0,1.0,1.0,0.56164,0.25939,0.90704,0.3323,0.38372,1.0,0.98717,0.99999,1.0,1.0,1.0,1.0,1.0,0.83458,1.0,1.0,0.43291,1.0,0.76952,1.0,1.0,0.89772,0.2728,0.97627,0.57841,1.0,0.39088,0.95204,1.0,0.92695,1.0,0.55713,0.76327,1.0,0.85947,0.21858,0.12728,1.0,1.0,1.0,1.0,0.61763,1.0,1.0,1.0,1.0,0.93434,1.0,1.0,1.0,1.0,0.82589,1.0,0.87139,1.0,1.0,1.0,1.0,1.0,0.44433,0.97453,1.0,1.0,1.0,1.0,1.0,0.28949,0.12535,0.70717,1.0,0.7418,0.64327,1.0,0.84904,1.0,0.96167,0.96579,0.80305,0.70485,0.7095,0.89016,1.0,1.0,1.0,1.0,0.44016,0.53259,1.0,1.0,1.0,1.0,1.0,0.42986,1.0,0.94672,0.94995,0.91142,1.0,0.67796,0.92153,0.79904,1.0,0.89432,0.46075,1.0,1.0,1.0,0.64672,0.24422,1.0,1.0,0.27137,0.88816,1.0,1.0,1.0,0.33521,0.82796,1.0,0.84531,1.0,0.3883,0.89177,1.0,1.0,0.73083,1.0,1.0,1.0,1.0,0.74971,0.70798,1.0,0.75564,0.9877,0.88756,0.82572,0.8074,0.61206,0.74969,0.67275,1.0,0.95667,1.0,1.0,1.0,0.15514,1.0,1.0,0.31619,1.0,0.99597,0.2269,0.84133,0.53523,0.96687,0.95352,0.12696,1.0,0.41815,0.67563,0.58549,0.88944,1.0,0.8656,0.99531,0.80947,1.0,1.0,0.68326,1.0,0.87006,0.8743,0.82876,1.0,1.0,1.0,0.38055,0.99443,0.76258,1.0,1.0,0.58913,0.3989,1.0,0.27322,1.0,0.77939,0.50801,1.0,0.91566,1.0,1.0,0.73465,0.72703,1.0,1.0,0.85332,0.86329,0.60518,0.60763,1.0,1.0,1.0,1.0
