READ SERR 1
@222-10.pco
!
0.100062184 6.21847212E-5 0.107598014
0.100186631 6.22620573E-5 0.107635394
0.100311235 6.23394953E-5 0.107672863
0.100435987 6.24170207E-5 0.107710414
0.100560904 6.24946479E-5 0.107748061
0.100685969 6.25723769E-5 0.107786246
0.100811191 6.26501933E-5 0.107832909
0.100936569 6.27281115E-5 0.107879676
0.101062104 6.28061316E-5 0.107926555
0.101187795 6.2884239E-5 0.107973546
0.101313643 6.29624483E-5 0.108020641
0.10143964 6.30407521E-5 0.108067848
0.101565801 6.31191579E-5 0.108115159
0.101692118 6.31976582E-5 0.108162589
0.101818591 6.32762603E-5 0.108210124
0.101945229 6.33549571E-5 0.108257763
0.102072015 6.34337484E-5 0.108305521
0.102198958 6.35126416E-5 0.108353384
0.102326065 6.35916294E-5 0.108401366
0.102453329 6.36707191E-5 0.108449452
0.102580748 6.37499033E-5 0.108497649
0.102708325 6.38291895E-5 0.108545959
0.102836065 6.39085774E-5 0.10859438
0.102963962 6.398806E-5 0.108642913
0.103092015 6.40676371E-5 0.108691558
0.103220232 6.41473234E-5 0.108740315
0.103348605 6.4227097E-5 0.108789183
0.103477143 6.43069798E-5 0.108838163
0.103605837 6.43869571E-5 0.108887263
0.103734687 6.44670363E-5 0.108936474
0.103863701 6.45472101E-5 0.108985797
0.103992879 6.4627493E-5 0.109035231
0.104122214 6.47078632E-5 0.109084778
0.104251713 6.47883426E-5 0.109134443
0.104381368 6.48689165E-5 0.109184228
0.104511186 6.49495996E-5 0.109234117
0.104641162 6.50303773E-5 0.109284125
0.104771309 6.51112496E-5 0.109334253
0.104901612 6.5192231E-5 0.109384492
0.105032079 6.5273307E-5 0.109434851
0.105162703 6.53544921E-5 0.109485321
0.10529349 6.54357718E-5 0.109535903
0.105424449 6.55171534E-5 0.109586611
0.105555564 6.55986369E-5 0.109637432
0.105686843 6.56802222E-5 0.109688371
0.105818287 6.57619094E-5 0.109739423
0.105949886 6.58436984E-5 0.109790593
0.106081657 6.5925582E-5 0.109841883
0.106213592 6.60075748E-5 0.109893292
0.106345691 6.60896694E-5 0.10994482
0.106477953 6.61718659E-5 0.10999646
0.106610373 6.62541643E-5 0.110048227
0.106742963 6.63365645E-5 0.110100105
0.106875725 6.64190666E-5 0.11015211
0.107008643 6.65016705E-5 0.110204227
0.107141726 6.65843763E-5 0.110256471
0.107274979 6.66671913E-5 0.110308826
0.107408397 6.67501008E-5 0.110361308
0.107541978 6.68331195E-5 0.110413909
0.107675731 6.691624E-5 0.110466629
0.107809648 6.69994624E-5 0.110519469
0.107943729 6.70827867E-5 0.110572435
0.108077981 6.71662201E-5 0.11062552
0.108212397 6.72497554E-5 0.110678725
0.108346976 6.73333925E-5 0.110732056
0.108481728 6.74171315E-5 0.110785507
0.108616643 6.75009796E-5 0.110839076
0.108751729 6.75849296E-5 0.110892773
0.108886987 6.76689888E-5 0.110946588
0.109022409 6.77531425E-5 0.11100053
0.109157994 6.78374054E-5 0.111054592
0.109293759 6.79217774E-5 0.11110878
0.109429687 6.80062512E-5 0.111163095
0.10956578 6.80908342E-5 0.111217529
0.109702051 6.81755118E-5 0.111272089
0.109838486 6.82603059E-5 0.111326776
0.109975092 6.83452017E-5 0.111381583
0.110111862 6.84301995E-5 0.111436523
0.110248812 6.85153063E-5 0.111491583
0.110385925 6.86005151E-5 0.11154677
0.110523216 6.8685833E-5 0.111602083
0.110660672 6.877126E-5 0.111657523
0.110798299 6.88567889E-5 0.111713089
0.110936098 6.89424269E-5 0.111768775
0.111074068 6.9028174E-5 0.111824594
0.111212209 6.91140231E-5 0.111880541
0.111350521 6.91999812E-5 0.111936614
0.111489013 6.92860413E-5 0.111992821
0.111627668 6.93722104E-5 0.112049147
0.111766502 6.94584887E-5 0.112105608
0.1119055 6.95448762E-5 0.112162195
0.112044677 6.96313655E-5 0.112218909
0.112184025 6.97179712E-5 0.112275749
0.112323552 6.98046788E-5 0.112342969
0.112463243 6.98914882E-5 0.112415664
0.112603113 6.99784141E-5 0.112488516
0.112743162 7.00654491E-5 0.112561539
0.112883382 7.0152586E-5 0.112634726
0.113023773 7.0239832E-5 0.112708077
0.113164335 7.03271944E-5 0.112781599
0.113305077 7.04146587E-5 0.112855285
0.113445997 7.05022321E-5 0.112929136
0.113587089 7.05899147E-5 0.113003157
0.113728359 7.06777064E-5 0.11307735
0.113869801 7.07656072E-5 0.113151707
0.114011422 7.08536172E-5 0.113226235
0.114153214 7.09417363E-5 0.113300927
0.114295185 7.10299719E-5 0.11337579
0.114437334 7.11183093E-5 0.113450825
0.114579663 7.12067558E-5 0.113526031
0.114722162 7.12953188E-5 0.113601409
0.114864841 7.13839909E-5 0.11367695
0.115007699 7.14727648E-5 0.113752671
0.115150735 7.15616552E-5 0.113828562
0.115293942 7.1650662E-5 0.113904618
0.115437336 7.17397706E-5 0.113980852
0.115580902 7.18289957E-5 0.114057258
0.115724653 7.19183226E-5 0.114133835
0.115868576 7.20077733E-5 0.114210583
0.116012685 7.20973258E-5 0.114287511
0.116156965 7.21869947E-5 0.114364609
0.116301432 7.22767727E-5 0.114441879
0.11644607 7.23666599E-5 0.114519328
0.116590895 7.24566635E-5 0.114596948
0.116735898 7.25467762E-5 0.114674747
0.116881087 7.26370054E-5 0.114752717
0.117026448 7.27273436E-5 0.114830866
0.117171995 7.28177911E-5 0.114909194
0.117317721 7.29083549E-5 0.114987694
0.117463626 7.29990279E-5 0.115066372
0.117609717 7.30898173E-5 0.115145229
0.117755987 7.31807231E-5 0.115224265
0.117902435 7.32717381E-5 0.115303472
0.11804907 7.33628622E-5 0.115382865
0.118195891 7.34541027E-5 0.11546243
0.118342891 7.35454596E-5 0.115542181
0.11849007 7.36369257E-5 0.115622111
0.118637435 7.37285081E-5 0.115702212
0.118784986 7.3820207E-5 0.115782499
0.118932717 7.39120151E-5 0.115862973
0.119080633 7.40039395E-5 0.115943618
0.119228736 7.40959731E-5 0.116024449
0.119377017 7.41881304E-5 0.11610546
