3.4e-02    13.4    -100000    5459856
3.2e-02     7.3    -100000    6305434
1.4e-02    10.2    -110000    1875155
2.5e-04     1.1    -110000    4350687
6.2e-02     7.1    -110000    4507007
1.8e-04     1.3    -110000    4886196
2.2e-04     1.1    -110000    5128680
6.5e-02    12.6    -120000      84364
1.8e-02     7.5    -120000    2171293
2.0e-04     1.1    -120000    5004801
1.4e-04     1.1    -120000    6859560
8.8e-03     7.0    -120000    7689233
2.2e+01    23.2    -130000     599090
4.2e-04     1.4    -130000     676036
9.2e-02    14.6    -130000    2310249
5.8e-02    14.6    -130000    2534120
2.0e-02    13.6    -130000    2778938
2.8e-02    14.2    -130000    4067483
1.6e-04     1.1    -130000    4412768
2.2e-04     1.2    -130000    4953874
1.9e-04     1.1    -130000    4975582
5.4e-03     7.8    -130000    6407445
1.6e-04     1.2    -130000    7901073
2.5e-01     7.7    -130000    8414549
1.7e-04     1.1    -130000    8741190
2.4e-04     1.2    -140000    1853386
1.4e-01    14.8    -140000    2219903
1.4e-04     1.1    -140000    3508737
9.6e+01    13.2    -140000    3963491
1.8e-04     1.2    -140000    7141672
7.5e-02    14.3    -140000    8388334
1.8e-01    24.5    -150000      81811
2.6e-04     1.4    -150000     887864
1.7e-04     1.1    -150000    2117878
2.2e-02    14.8    -150000    2275322
2.8e-04     1.3    -150000    4151567
5.5e-02    13.9    -150000    6279949
1.9e-01     7.8    -150000    6903732
4.6e-02     8.3    -150000    8540672
9.2e-02    16.6    -160000    4198345
1.0e-01    12.2    -160000    5227543
1.8e-04     1.3    -160000    6307799
2.0e-01    13.3    -160000    7749895
1.3e-01    13.3    -160000    8599446
1.6e-04     1.1    -170000    1607859
9.9e-02    15.0    -170000    3487719
1.4e-04     1.1    -170000    3889029
8.3e-03    12.9    -170000    3893028
6.1e-02    16.5    -170000    3917858
2.2e-04     1.1    -170000    4039456
3.3e-02    13.3    -170000    5233759
9.1e-02    13.6    -170000    6591447
1.8e-04     1.1    -170000    8140914
8.3e-02    16.5    -180000    2617514
1.5e-01    11.2    -180000    3306168
2.2e-04     1.1    -180000    5783527
2.3e-04     1.1    -180000    6207084
4.2e-02    19.5    -180000    6427971
9.5e+00    16.0    -180000    6440332
3.3e-02     9.6    -180000    8468698
1.3e-01    10.5    -190000     223284
7.8e-01     1.1    -190000     281879
2.2e-04     1.1    -190000     434676
3.0e-02    14.5    -190000    1563048
2.1e-04     1.1    -190000    1907255
1.4e-01    15.2    -190000    2913449
8.0e-02    14.9    -190000    3882660
6.5e-02    11.7    -190000    5361981
3.6e+01     7.8    -190000    5747355
2.7e-02    14.7    -190000    8713486
9.0e-02    10.0     -10000     122383
1.8e-04     1.1     -10000    3172636
1.3e-01    11.8     -10000    3556134
5.0e-02     8.1     -10000    4146117
1.4e-04     1.1     -10000    4954508
5.0e-02    12.2     -10000    6412998
8.3e-02    14.7     -10000    6990743
1.4e-04     1.1     -10000    7607929
2.1e-04     1.3    -200000     571011
8.0e-02    18.5    -200000     851650
5.0e-02     6.8    -200000    3623530
1.0e-01    16.8    -200000    3992723
5.5e-02    12.9     -20000    1204425
1.0e-01     9.7     -20000    1365968
9.6e-01     1.1     -20000    2651280
1.8e-04     1.1     -20000    3138307
9.8e-02    19.9     -20000    3582708
2.0e-04     1.4     -20000    4884946
9.1e-02    16.2     -20000    6022926
4.5e-03     6.7     -20000    6998823
9.2e-02    17.0     -20000    7268603
2.6e-04     1.1     -20000    7718930
5.8e-02     7.2     -20000    7723527
2.0e-04     1.1     -20000    8775258
2.0e-04     1.1     -20000    8806398
1.0e-01    14.0     -30000     321542
8.9e-02    17.6     -30000    1857603
2.2e-04     1.1     -30000    3185223
9.2e-04     1.5     -30000    3540382
6.2e-02     8.5     -30000    3732170
2.5e-04     1.4     -30000    5293165
4.7e-02    14.2     -30000    5341515
1.3e-01     9.0     -30000    6083834
5.8e-02     7.0     -30000    7870399
1.5e-04     1.1     -40000    1155533
9.0e-02    23.3     -40000    1315861
1.9e-01    10.6     -40000    2231418
7.3e-02     7.0     -40000    2645086
9.0e-02    16.0     -40000    7606334
6.9e-02    18.9     -50000     974016
5.3e-02    15.7     -50000    1509887
1.8e-04     1.1     -50000    4497788
2.1e-01     6.5     -50000    5461901
1.6e-04     1.1     -50000    6122890
1.3e-01    12.4     -50000    8513110
2.8e-04     1.1     -60000     112509
7.6e-02     6.4     -60000    3790816
1.8e-02    14.0     -60000    4762564
3.3e-02    15.1     -60000    5247882
2.0e-04     1.1     -60000    8505864
3.2e-02     7.4     -60000    8776946
1.2e-02    23.5     -70000     327607
2.6e-04     1.1     -70000     584916
8.6e-02    26.1     -70000    3611466
5.3e-02    13.0     -70000    3676230
1.7e-04     1.1     -70000    4110567
6.1e-02     7.7     -70000    5489991
5.4e-02     8.0     -70000    6114965
1.3e-04     1.1     -70000    6819863
2.7e-04     1.1     -70000    7344919
1.6e-04     1.1     -70000    8594357
2.3e-02     7.6     -80000     109691
8.6e-02    14.0     -80000     240504
1.5e-04     1.1     -80000    4737674
1.4e-01    10.1     -80000    4816724
2.2e-04     1.1     -90000     501468
7.9e-02    11.1     -90000    3304156
5.4e-04     1.3     -90000    4126152
8.5e-02     8.0     -90000    4705005
1.9e-04     1.4     -90000    6065711
1.4e-01    11.1     -90000    6836272
8.5e-04     1.4     -90000    7247159
2.4e-02     8.0     -90000    8233130
1.8e-04     1.1     -90000    8838649
