,Unnamed: 0,alive,dead,MCMC_iter,BH_NS,sim_num,system_num,inclination,dincl,ratio
55,928-31.0-57.07,6.086523530000018,43.84214993599999,37,0.30000000000000004,164,928,57.07,31.0,0.12190437092515115
56,928-11.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,11.0,0.0
57,928-19.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,19.0,0.0
58,928-5.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,5.0,0.0
59,928-10.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,10.0,0.0
60,928-27.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,27.0,0.0
61,928-35.0-57.07,9.591410179999992,40.322737886,37,0.30000000000000004,164,928,57.07,35.0,0.19215814657033825
62,928-20.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,20.0,0.0
63,928-7.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,7.0,0.0
64,928-16.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,16.0,0.0
65,928-18.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,18.0,0.0
66,928-21.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,21.0,0.0
67,928-9.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,9.0,0.0
68,928-37.0-57.07,10.772634089999993,39.137274436,37,0.30000000000000004,164,928,57.07,37.0,0.2158415915426516
69,928-36.0-57.07,10.233242310000003,39.678309126,37,0.30000000000000004,164,928,57.07,36.0,0.2050275340192894
70,928-6.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,6.0,0.0
71,928-39.0-57.07,11.828031679999993,38.100370976,37,0.30000000000000004,164,928,57.07,39.0,0.2368998616177158
72,928-23.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,23.0,0.0
73,928-32.0-57.07,7.200783709999999,42.728262166,37,0.30000000000000004,164,928,57.07,32.0,0.14422033475030388
74,928-28.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,28.0,0.0
75,928-24.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,24.0,0.0
76,928-30.0-57.07,4.5179401100000085,45.396500226,37,0.30000000000000004,164,928,57.07,30.0,0.09051368861570737
77,928-3.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,3.0,0.0
78,928-4.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,4.0,0.0
79,928-38.0-57.07,11.309534779999998,38.60928553600001,37,0.30000000000000004,164,928,57.07,38.0,0.2265585346049345
80,928-40.0-57.07,12.277461829999995,37.665878466,37,0.30000000000000004,164,928,57.07,40.0,0.2458278072158363
