,2000878,1799411,131414,694760,3813556,4921532,4969486,451703,1628096,5127841,679673,4671673,1641591
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.37427,0.0,0.98837,1.0,1.0,0.37556,0.0,0.0,0.0,0.76896,0.18676,0.51191,0.0
2,0.46349,1.0,0.98837,1.0,1.0,0.46562,1.0,0.51463,1.0,0.97941,0.35056,0.76624,1.0
3,0.54879,1.0,0.98837,1.0,1.0,0.55465,1.0,0.51463,1.0,0.99321,0.45542,0.80467,1.0
4,0.61797,1.0,0.98837,1.0,1.0,0.64566,1.0,0.51463,1.0,1.0,0.56028,0.84145,1.0
5,0.68276,1.0,0.98837,1.0,1.0,0.7359,1.0,0.51463,1.0,1.0,0.66388,0.87803,1.0
6,0.72696,1.0,1.0,1.0,1.0,0.827,1.0,0.51463,1.0,1.0,0.76892,0.91574,1.0
7,0.7654,1.0,1.0,1.0,1.0,0.91423,1.0,0.51463,1.0,1.0,0.87381,0.94368,1.0
