2.4e+00    22.0    -100000      13688
2.4e-01     8.8    -100000     581618
6.7e-02     7.3    -100000     793333
5.0e+00    16.6    -100000     921186
2.8e+00    18.0    -100000    4133677
9.2e+00    35.9    -100000    4212767
1.5e-02     5.7    -100000    4582606
2.4e+00    16.7    -100000    4746795
1.5e-02     1.9    -100000    5216279
9.3e-01    14.0    -100000    5812161
1.7e+00    16.5    -100000    6304396
3.1e+02    30.8    -100000    7636070
6.7e+00    13.8    -100000    8152754
8.4e-01    11.5    -100000    8542054
5.0e-02     5.8    -110000     292838
1.8e+00    15.6    -110000    1205092
8.2e-01    31.5    -110000    1211564
6.4e+00    36.3    -110000    1898168
6.1e+02    19.3    -110000    2052873
9.1e-01    32.7    -110000    2695998
1.9e+00    18.5    -110000    3390911
1.5e+00    15.6    -110000    3412320
4.2e+00    32.6    -110000    3537978
2.8e+00    32.6    -110000    3812466
5.3e+00    16.0    -110000    4020027
5.7e+00    36.9    -110000    4222132
2.2e+00    21.5    -110000    5069635
1.8e+00    33.7    -110000    5258636
1.4e+00    15.8    -110000    5468871
2.0e-01     8.2    -110000    6170401
1.9e+00    11.7    -110000    6432857
3.1e+00    16.9    -110000    6853826
4.1e-03     5.8    -110000    7132549
3.9e+00     8.9    -110000    7279272
1.6e+00    25.5    -110000    8042059
4.0e-01     5.8    -110000    8049916
4.6e-02     5.7    -110000    8473035
1.0e+01    35.4    -110000    8478601
1.6e-03     1.9    -110000    8524496
3.0e+00    12.8    -110000    8565057
1.8e+00    14.6    -110000    8592751
7.3e-01    20.9    -110000    8792386
5.9e-02     8.2    -120000      84364
3.4e+00    33.7    -120000     359423
2.3e+00    15.1    -120000     778306
2.0e+00    25.8    -120000    1178465
2.9e+00    33.1    -120000    1332153
1.7e+00    14.5    -120000    1512850
3.8e+00    17.3    -120000    1918667
5.0e-01     7.2    -120000    2259714
1.0e-01     6.9    -120000    3226792
5.4e-01    11.8    -120000    3361299
1.1e-01     6.8    -120000    3755631
1.8e+00    15.0    -120000    3823991
2.6e+00     1.9    -120000    3877277
1.0e-01     6.7    -120000    4255253
8.4e-01    17.1    -120000    4967340
1.6e+00    16.1    -120000    5305943
2.6e-01     8.9    -120000    5828011
1.6e+00    16.9    -120000    6120154
2.2e+00    26.7    -120000    7554957
3.2e+00    36.2    -120000    8467248
6.1e+00    12.8    -130000     925712
6.3e+00    11.0    -130000    1118838
2.0e+00    19.8    -130000    1762240
6.7e+00    10.0    -130000    3218881
3.1e+00    19.3    -130000    4301601
2.5e+00    16.5    -130000    5381162
3.1e+00    19.7    -130000    5679815
1.8e+00    32.0    -130000    6075515
4.6e-02     6.2    -130000    6416774
1.3e+00    28.2    -130000    6727450
1.8e+00    23.6    -130000    6808547
4.1e+01    39.6    -130000    6847751
5.5e+00    30.3    -130000    6896387
1.7e+00    15.9    -130000    6980102
1.6e+00    14.3    -130000    7016099
6.1e-03     5.9    -130000    7350777
2.0e-01     8.1    -130000    8329096
4.9e-01    10.7    -130000    8751677
2.5e+00    15.3    -140000      10001
1.8e+00    17.8    -140000      92343
9.8e+01    10.6    -140000    1648144
2.2e+01    27.8    -140000    2761733
2.0e+00    27.3    -140000    3919347
2.7e+02    24.3    -140000    4239361
1.7e+00    16.2    -140000    4374004
1.8e+00    11.7    -140000    4575106
1.8e+00    13.7    -140000    5348184
2.4e+00    11.1    -140000    5654951
1.6e-01     6.2    -140000    5968021
3.5e+00    17.9    -140000    6332025
1.5e+00    18.5    -140000    6496258
1.4e-01     7.5    -140000    7308140
1.4e+00    11.9    -140000    7812125
5.8e+00    34.4    -150000     537037
8.8e+00    36.1    -150000     631393
1.1e+00     9.7    -150000    1132022
6.7e-01    21.2    -150000    1574265
2.1e+00    33.6    -150000    1996311
2.0e+00    16.5    -150000    3107374
2.5e-01     9.1    -150000    3417148
1.6e+00    18.2    -150000    3626266
2.0e+00    21.8    -150000    4002057
4.6e-02     6.1    -150000    4159987
2.6e+00    15.3    -150000    4600150
1.3e+00    14.2    -150000    4761209
1.2e-02     5.6    -150000    5054217
2.1e+00    20.3    -150000    5135024
2.3e+00    23.3    -150000    5646489
2.2e+00    26.5    -150000    5725795
2.2e+00    21.8    -150000    5759976
1.9e+00    18.3    -150000    6910819
8.4e-02     7.3    -150000    7451513
3.6e-02     6.6    -150000    7494944
1.4e+00    19.1    -150000    7637823
1.0e+00    11.2    -150000    8087600
2.8e-01     7.2    -150000    8599628
