,Alive,BH_ratio,Dead,Trans
1677,435,0.9,22,43
1678,464,0.9500000000000001,11,25
1679,467,1.0,4,29
1680,154,0.0,143,203
1681,183,0.05,117,200
1682,213,0.1,118,169
1683,217,0.15000000000000002,102,181
1684,215,0.2,117,168
1685,245,0.25,92,163
1686,287,0.30000000000000004,95,118
1687,268,0.35000000000000003,87,145
1688,298,0.4,87,115
1689,295,0.45,82,123
1690,334,0.5,70,96
1691,317,0.55,61,122
1692,356,0.6000000000000001,60,84
1693,386,0.65,43,71
1694,382,0.7000000000000001,38,80
1695,397,0.75,38,65
1696,420,0.8,33,47
1697,418,0.8500000000000001,27,55
1698,437,0.9,18,45
1699,451,0.9500000000000001,13,36
1700,477,1.0,5,18
1701,187,0.0,125,188
1702,176,0.05,133,191
1703,179,0.1,137,184
1704,222,0.15000000000000002,107,171
1705,232,0.2,109,159
1706,238,0.25,103,159
1707,272,0.30000000000000004,102,126
1708,268,0.35000000000000003,87,145
1709,278,0.4,98,124
1710,314,0.45,76,110
1711,322,0.5,61,117
1712,339,0.55,66,95
1713,358,0.6000000000000001,48,94
1714,346,0.65,53,101
1715,393,0.7000000000000001,41,66
1716,382,0.75,47,71
1717,401,0.8,36,63
1718,421,0.8500000000000001,32,47
1719,435,0.9,22,43
1720,456,0.9500000000000001,14,30
1721,473,1.0,7,20
1722,170,0.0,124,206
1723,199,0.05,122,179
1724,191,0.1,118,191
1725,201,0.15000000000000002,142,157
1726,208,0.2,143,149
1727,238,0.25,122,140
1728,259,0.30000000000000004,103,138
1729,268,0.35000000000000003,93,139
1730,289,0.4,80,131
1731,294,0.45,85,121
1732,315,0.5,77,108
1733,325,0.55,58,117
1734,356,0.6000000000000001,56,88
1735,372,0.65,48,80
1736,372,0.7000000000000001,46,82
1737,397,0.75,39,64
1738,410,0.8,29,61
1739,436,0.8500000000000001,24,40
1740,428,0.9,27,45
1741,471,0.9500000000000001,9,20
1742,471,1.0,4,25
1743,166,0.0,138,196
1744,194,0.05,133,173
1745,202,0.1,132,166
1746,225,0.15000000000000002,122,153
1747,222,0.2,122,156
1748,247,0.25,98,155
1749,249,0.30000000000000004,107,144
1750,262,0.35000000000000003,93,145
1751,291,0.4,77,132
1752,302,0.45,79,119
1753,329,0.5,71,100
1754,343,0.55,63,94
1755,350,0.6000000000000001,51,99
1756,354,0.65,57,89
1757,370,0.7000000000000001,34,96
1758,408,0.75,26,66
1759,414,0.8,33,53
1760,417,0.8500000000000001,27,56
1761,451,0.9,14,35
1762,458,0.9500000000000001,8,34
1763,472,1.0,11,17
