,BH_NS,N_alive,N_dead,N_trans
583,0.0,111,43,346
584,0.1,153,37,310
585,0.2,184,37,279
586,0.30000000000000004,210,32,258
587,0.4,229,19,252
588,0.5,274,27,199
589,0.6000000000000001,301,12,187
590,0.7000000000000001,359,8,133
591,0.8,383,10,107
592,0.9,418,5,77
593,1.0,467,0,33
594,0.0,113,46,341
595,0.1,155,39,306
596,0.2,183,35,282
597,0.30000000000000004,216,33,251
598,0.4,246,26,228
599,0.5,282,21,197
600,0.6000000000000001,324,14,162
601,0.7000000000000001,364,8,128
602,0.8,399,15,86
603,0.9,419,2,79
604,1.0,452,0,48
605,0.0,115,33,352
606,0.1,147,36,317
607,0.2,162,34,304
608,0.30000000000000004,189,38,273
609,0.4,239,20,241
610,0.5,269,21,210
611,0.6000000000000001,316,16,168
612,0.7000000000000001,351,9,140
613,0.8,383,8,109
614,0.9,412,4,84
615,1.0,455,0,45
616,0.0,107,42,351
617,0.1,133,46,321
618,0.2,191,30,279
619,0.30000000000000004,218,17,265
620,0.4,244,22,234
621,0.5,279,23,198
622,0.6000000000000001,306,22,172
623,0.7000000000000001,353,12,135
624,0.8,382,4,114
625,0.9,432,5,63
626,1.0,452,0,48
627,0.0,96,41,363
628,0.1,136,31,333
629,0.2,176,34,290
630,0.30000000000000004,210,26,264
631,0.4,252,25,223
632,0.5,274,22,204
633,0.6000000000000001,333,24,143
634,0.7000000000000001,356,14,130
635,0.8,391,11,98
636,0.9,417,9,74
637,1.0,455,0,45
638,0.0,114,38,348
639,0.1,133,46,321
640,0.2,176,42,282
641,0.30000000000000004,235,25,240
642,0.4,250,31,219
643,0.5,269,17,214
644,0.6000000000000001,324,15,161
645,0.7000000000000001,348,10,142
646,0.8,379,9,112
647,0.9,422,3,75
648,1.0,466,0,34
649,0.0,96,50,354
650,0.1,144,34,322
651,0.2,184,33,283
652,0.30000000000000004,193,26,281
653,0.4,252,25,223
654,0.5,286,20,194
655,0.6000000000000001,302,14,184
656,0.7000000000000001,349,15,136
657,0.8,390,15,95
658,0.9,434,2,64
659,1.0,460,0,40
660,0.0,112,35,353
661,0.1,146,33,321
662,0.2,170,27,303
663,0.30000000000000004,219,30,251
664,0.4,238,22,240
665,0.5,258,24,218
666,0.6000000000000001,320,18,162
667,0.7000000000000001,352,15,133
668,0.8,392,9,99
669,0.9,425,6,69
670,1.0,452,0,48
671,0.0,111,40,349
672,0.1,132,34,334
673,0.2,190,30,280
674,0.30000000000000004,215,34,251
675,0.4,229,27,244
676,0.5,260,21,219
677,0.6000000000000001,317,14,169
678,0.7000000000000001,373,9,118
679,0.8,381,12,107
680,0.9,426,4,70
681,1.0,456,0,44
682,0.0,112,34,354
683,0.1,150,28,322
684,0.2,167,34,299
685,0.30000000000000004,207,32,261
686,0.4,241,32,227
687,0.5,286,18,196
688,0.6000000000000001,312,18,170
689,0.7000000000000001,363,16,121
690,0.8,391,10,99
691,0.9,427,9,64
692,1.0,458,0,42
693,0.0,97,39,364
694,0.1,133,48,319
695,0.2,169,39,292
696,0.30000000000000004,218,37,245
697,0.4,243,22,235
698,0.5,285,15,200
699,0.6000000000000001,317,16,167
700,0.7000000000000001,364,9,127
701,0.8,389,6,105
702,0.9,419,7,74
703,1.0,463,0,37
704,0.0,120,36,344
705,0.1,137,34,329
706,0.2,162,34,304
707,0.30000000000000004,204,19,277
708,0.4,248,34,218
709,0.5,271,23,206
710,0.6000000000000001,320,22,158
711,0.7000000000000001,333,15,152
712,0.8,390,7,103
713,0.9,419,7,74
714,1.0,456,0,44
715,0.0,113,49,338
716,0.1,136,35,329
717,0.2,160,38,302
718,0.30000000000000004,214,27,259
719,0.4,234,31,235
720,0.5,278,27,195
721,0.6000000000000001,320,15,165
722,0.7000000000000001,345,12,143
723,0.8,407,6,87
724,0.9,421,8,71
725,1.0,460,0,40
726,0.0,94,44,362
727,0.1,157,40,303
728,0.2,184,27,289
729,0.30000000000000004,242,28,230
730,0.4,235,27,238
731,0.5,300,14,186
732,0.6000000000000001,330,20,150
733,0.7000000000000001,369,11,120
734,0.8,385,6,109
735,0.9,417,6,77
736,1.0,458,0,42
737,0.0,112,35,353
738,0.1,138,32,330
739,0.2,185,26,289
740,0.30000000000000004,202,36,262
741,0.4,247,34,219
742,0.5,282,14,204
743,0.6000000000000001,311,24,165
744,0.7000000000000001,355,6,139
745,0.8,395,7,98
746,0.9,427,6,67
747,1.0,461,0,39
748,0.0,91,32,377
749,0.1,129,38,333
750,0.2,177,39,284
751,0.30000000000000004,203,31,266
752,0.4,248,23,229
753,0.5,272,26,202
754,0.6000000000000001,322,21,157
755,0.7000000000000001,338,10,152
756,0.8,393,8,99
757,0.9,427,3,70
758,1.0,460,0,40
759,0.0,114,33,353
760,0.1,149,34,317
761,0.2,179,44,277
762,0.30000000000000004,210,20,270
763,0.4,244,26,230
764,0.5,279,15,206
765,0.6000000000000001,316,21,163
766,0.7000000000000001,357,17,126
767,0.8,374,9,117
768,0.9,419,1,80
769,1.0,452,0,48
770,0.0,113,39,348
771,0.1,133,42,325
772,0.2,182,29,289
773,0.30000000000000004,195,36,269
774,0.4,244,37,219
775,0.5,265,22,213
776,0.6000000000000001,315,11,174
777,0.7000000000000001,368,10,122
778,0.8,388,12,100
779,0.9,430,4,66
780,1.0,464,0,36
781,0.0,94,40,366
782,0.1,141,39,320
783,0.2,166,35,299
784,0.30000000000000004,212,22,266
785,0.4,241,26,233
786,0.5,279,37,184
787,0.6000000000000001,313,16,171
788,0.7000000000000001,348,11,141
789,0.8,395,9,96
790,0.9,423,5,72
791,1.0,454,0,46
792,0.0,97,51,352
793,0.1,146,33,321
794,0.2,165,32,303
795,0.30000000000000004,197,27,276
796,0.4,259,21,220
797,0.5,292,28,180
798,0.6000000000000001,293,15,192
799,0.7000000000000001,350,10,140
800,0.8,390,11,99
801,0.9,426,5,69
802,1.0,454,0,46
803,0.0,106,35,359
804,0.1,150,34,316
805,0.2,171,34,295
806,0.30000000000000004,216,30,254
807,0.4,248,15,237
808,0.5,280,24,196
809,0.6000000000000001,315,24,161
810,0.7000000000000001,357,16,127
811,0.8,386,9,105
812,0.9,430,4,66
813,1.0,466,0,34
814,0.0,115,34,351
815,0.1,128,43,329
816,0.2,166,33,301
817,0.30000000000000004,215,22,263
818,0.4,238,26,236
819,0.5,286,22,192
820,0.6000000000000001,317,20,163
821,0.7000000000000001,347,19,134
822,0.8,399,15,86
823,0.9,433,1,66
824,1.0,453,0,47
825,0.0,111,46,343
826,0.1,140,39,321
827,0.2,166,39,295
828,0.30000000000000004,209,28,263
829,0.4,237,27,236
830,0.5,285,19,196
831,0.6000000000000001,316,12,172
832,0.7000000000000001,326,12,162
833,0.8,401,6,93
834,0.9,416,2,82
835,1.0,461,0,39
836,0.0,122,37,341
837,0.1,148,46,306
838,0.2,174,36,290
839,0.30000000000000004,210,30,260
840,0.4,263,19,218
841,0.5,278,24,198
842,0.6000000000000001,312,20,168
843,0.7000000000000001,351,18,131
844,0.8,385,10,105
845,0.9,419,5,76
846,1.0,458,0,42
847,0.0,105,45,350
848,0.1,135,31,334
849,0.2,172,40,288
850,0.30000000000000004,232,28,240
851,0.4,233,30,237
852,0.5,266,19,215
853,0.6000000000000001,327,15,158
854,0.7000000000000001,352,14,134
855,0.8,375,11,114
856,0.9,419,6,75
857,1.0,462,0,38
858,0.0,108,38,354
859,0.1,147,36,317
860,0.2,169,34,297
861,0.30000000000000004,227,29,244
862,0.4,245,22,233
863,0.5,288,23,189
864,0.6000000000000001,313,17,170
865,0.7000000000000001,365,15,120
866,0.8,393,7,100
867,0.9,412,3,85
868,1.0,457,0,43
869,0.0,99,53,348
870,0.1,133,41,326
871,0.2,164,37,299
872,0.30000000000000004,222,20,258
873,0.4,237,17,246
874,0.5,304,20,176
875,0.6000000000000001,312,22,166
876,0.7000000000000001,348,13,139
877,0.8,385,14,101
878,0.9,419,8,73
879,1.0,458,0,42
880,0.0,94,62,344
881,0.1,143,34,323
882,0.2,160,38,302
883,0.30000000000000004,208,34,258
884,0.4,260,20,220
885,0.5,277,24,199
886,0.6000000000000001,321,17,162
887,0.7000000000000001,364,9,127
888,0.8,392,9,99
889,0.9,425,8,67
890,1.0,471,1,28
891,0.0,99,43,358
892,0.1,152,29,319
893,0.2,179,29,292
894,0.30000000000000004,202,26,272
895,0.4,234,25,241
896,0.5,285,21,194
897,0.6000000000000001,308,18,174
898,0.7000000000000001,373,11,116
899,0.8,395,7,98
900,0.9,425,7,68
901,1.0,467,0,33
902,0.0,113,30,357
903,0.1,143,33,324
904,0.2,169,37,294
905,0.30000000000000004,178,32,290
906,0.4,248,29,223
907,0.5,268,21,211
908,0.6000000000000001,324,13,163
909,0.7000000000000001,338,17,145
910,0.8,386,9,105
911,0.9,434,6,60
912,1.0,454,0,46
913,0.0,119,48,333
914,0.1,131,37,332
915,0.2,193,38,269
916,0.30000000000000004,197,32,271
917,0.4,259,21,220
918,0.5,280,20,200
919,0.6000000000000001,319,17,164
920,0.7000000000000001,349,12,139
921,0.8,387,10,103
922,0.9,422,4,74
923,1.0,454,0,46
924,0.0,107,40,353
925,0.1,138,45,317
926,0.2,176,34,290
927,0.30000000000000004,217,27,256
928,0.4,231,28,241
929,0.5,272,28,200
930,0.6000000000000001,322,17,161
931,0.7000000000000001,348,12,140
932,0.8,384,9,107
933,0.9,433,1,66
934,1.0,451,0,49
935,0.0,98,50,352
936,0.1,162,40,298
937,0.2,168,48,284
938,0.30000000000000004,212,27,261
939,0.4,243,29,228
940,0.5,282,15,203
941,0.6000000000000001,303,19,178
942,0.7000000000000001,358,15,127
943,0.8,373,14,113
944,0.9,439,6,55
945,1.0,457,0,43
946,0.0,100,37,363
947,0.1,140,46,314
948,0.2,172,42,286
949,0.30000000000000004,213,22,265
950,0.4,234,22,244
951,0.5,269,24,207
952,0.6000000000000001,322,27,151
953,0.7000000000000001,362,7,131
954,0.8,398,4,98
955,0.9,424,3,73
956,1.0,462,0,38
957,0.0,98,47,355
958,0.1,143,32,325
959,0.2,153,47,300
960,0.30000000000000004,216,32,252
961,0.4,259,26,215
962,0.5,297,19,184
963,0.6000000000000001,318,22,160
964,0.7000000000000001,360,11,129
965,0.8,402,11,87
