,mdot,m,Z,tage
5911,0.00011,1.8,0.002,200
5912,0.00027,1.6,0.002,200
5913,0.00016,1.6,0.002,200
5914,0.00046,1.7,0.002,200
5915,0.00038,1.6,0.002,200
5916,0.00012,1.8,0.002,200
5917,0.00022,1.2,0.002,200
5918,0.00024,1.6,0.002,200
5919,0.00011,1.8,0.002,200
5920,0.00012,1.7,0.002,200
5921,0.003,8.3,0.002,200
5922,6.6E-05,2,0.002,200
5923,0.00011,1.8,0.002,200
5924,0.00048,1.6,0.002,200
5925,0.0085,1.5,0.002,200
5926,0.00048,1.6,0.002,200
5927,0.00021,1.7,0.002,200
5928,0.00013,1.2,0.002,200
5929,0.00029,1.5,0.002,200
5930,0.00013,1.2,0.002,200
5931,0.00027,1.7,0.002,200
5932,9.3E-05,1.9,0.002,200
5933,0.0002,1.7,0.002,200
5934,0.0056,6.8,0.002,200
5935,0.0004,1.6,0.002,200
5936,0.00037,1.6,0.002,200
5937,0.0004,1.6,0.002,200
5938,0.00044,1.6,0.002,200
5939,0.00015,1.4,0.002,200
5940,0.011,1.4,0.002,200
5941,0.0002,1.6,0.002,200
5942,0.00015,1.4,0.002,200
5943,0.0003,1.6,0.002,200
5944,0.00013,1.4,0.002,200
5945,0.017,1.5,0.002,200
5946,0.00089,1.7,0.002,200
5947,0.00053,1.6,0.002,200
5948,6.7E-05,1.9,0.002,200
5949,0.00071,1.7,0.002,200
5950,0.00044,1.6,0.002,200
5951,0.00023,1.7,0.002,200
5952,0.00015,1.7,0.002,200
5953,0.00041,1.7,0.002,200
5954,0.0003,1.7,0.002,200
5955,0.0007,1.6,0.002,200
5956,0.0001,1.8,0.002,200
5957,0.00024,1.7,0.002,200
5958,7.7E-05,2,0.002,200
5959,0.00043,1.7,0.002,200
5960,0.00018,1.7,0.002,200
5961,0.011,1.4,0.002,200
5962,8.2E-05,1.9,0.002,200
5963,0.0003,1.5,0.002,200
5964,0.00012,1.8,0.002,200
5965,9.2E-05,1.3,0.002,200
5966,0.0071,8.3,0.002,200
5967,0.00016,1.6,0.002,200
5968,0.006,1.5,0.002,200
5969,0.00017,1.7,0.002,200
5970,0.0017,1.7,0.002,200
5971,0.00015,1.7,0.002,200
5972,0.00025,1.6,0.002,200
5973,0.00031,1.6,0.002,200
5974,9.4E-05,1.9,0.002,200
5975,0.028,1.5,0.002,200
5976,0.0019,1.6,0.002,200
5977,0.00032,1.7,0.002,200
5978,0.00018,1.7,0.002,200
5979,0.0013,1.6,0.002,200
5980,0.00016,1.6,0.002,200
5981,7.3E-05,1.9,0.002,200
5982,0.00043,1.6,0.002,200
5983,9.6E-05,1.9,0.002,200
5984,0.011,1.6,0.002,200
5985,0.0049,7.6,0.002,200
5986,0.00026,1.7,0.002,200
5987,0.0012,1.6,0.002,200
5988,0.0001,1.9,0.002,200
5989,0.015,1.4,0.002,200
5990,0.00014,1.8,0.002,200
5991,0.00025,1.4,0.002,200
5992,0.00031,1.7,0.002,200
5993,0.00084,1.7,0.002,200
5994,0.0013,2.4,0.002,200
5995,8.4E-05,1.9,0.002,200
5996,0.00048,1.5,0.002,200
5997,0.0012,2.2,0.002,200
5998,8.6E-05,1.9,0.002,200
5999,0.00014,1.5,0.002,200
6000,0.00017,1.2,0.002,200
6001,0.00011,1.8,0.002,200
6002,0.021,1.3,0.002,200
6003,6.5E-05,2,0.002,200
6004,8.3E-05,1.9,0.002,200
6005,0.00013,1.2,0.002,200
6006,0.00031,1.5,0.002,200
6007,0.00059,1.5,0.002,200
6008,0.013,1.6,0.002,200
6009,0.014,1.3,0.002,200
6010,0.00031,1.5,0.002,200
6011,0.00041,1.6,0.002,200
6012,0.00012,1.7,0.002,200
6013,0.00047,1.6,0.002,200
6014,0.00031,1.6,0.002,200
6015,0.0098,6,0.002,200
6016,7.2E-05,1.9,0.002,200
6017,0.00053,1.5,0.002,200
6018,0.001,1.5,0.002,200
6019,0.015,9.2,0.002,200
6020,9.6E-05,1.9,0.002,200
6021,0.00016,1.7,0.002,200
6022,0.00031,1.6,0.002,200
6023,0.00045,1.5,0.002,200
6024,6.8E-05,2,0.002,200
6025,0.024,1.3,0.002,200
6026,0.00011,1.7,0.002,200
6027,0.00019,1.7,0.002,200
6028,0.00018,1.6,0.002,200
6029,0.00043,1.6,0.002,200
6030,0.0035,8.4,0.002,200
6031,0.00024,1.6,0.002,200
6032,0.00038,1.6,0.002,200
6033,0.0046,6.7,0.002,200
6034,0.0097,1.2,0.002,200
6035,0.00012,1.7,0.002,200
6036,0.045,5.6,0.002,200
6037,0.0083,8.3,0.002,200
6038,0.00017,1.6,0.002,200
6039,8.3E-05,1.8,0.002,200
6040,0.00014,1.8,0.002,200
6041,0.014,7.9,0.002,200
6042,0.02,1.3,0.002,200
6043,0.00014,1.7,0.002,200
6044,0.00021,1.6,0.002,200
6045,0.026,1.3,0.002,200
6046,7.4E-05,1.3,0.002,200
6047,0.00075,1.6,0.002,200
6048,0.00028,1.8,0.002,200
6049,0.00027,1.5,0.002,200
6050,8.6E-05,1.9,0.002,200
6051,0.00037,1.6,0.002,200
6052,0.00016,1.7,0.002,200
6053,0.016,1.4,0.002,200
6054,0.00028,1.7,0.002,200
6055,0.00014,1.7,0.002,200
6056,0.00034,1.6,0.002,200
6057,0.0097,7.9,0.002,200
6058,0.00082,2,0.002,200
6059,9.6E-05,1.9,0.002,200
6060,0.00066,1.5,0.002,200
6061,0.00015,1.8,0.002,200
6062,0.00019,1.7,0.002,200
6063,0.00015,1.8,0.002,200
6064,0.00027,1.7,0.002,200
6065,0.0001,1.8,0.002,200
6066,0.00078,1.7,0.002,200
6067,0.00017,1.8,0.002,200
6068,0.0003,1.6,0.002,200
6069,7.2E-05,1.9,0.002,200
6070,0.00014,1.2,0.002,200
6071,0.012,1.3,0.002,200
6072,0.00022,1.7,0.002,200
6073,0.0012,2.2,0.002,200
6074,0.0003,1.6,0.002,200
6075,0.00034,1.6,0.002,200
6076,0.011,1.3,0.002,200
6077,0.00015,1.8,0.002,200
6078,0.00012,1.8,0.002,200
6079,0.00035,1.7,0.002,200
6080,0.00013,1.7,0.002,200
6081,0.0005,1.6,0.002,200
6082,0.00016,1.8,0.002,200
6083,0.00014,1.2,0.002,200
6084,0.00014,1.8,0.002,200
6085,0.0026,1.5,0.002,200
6086,0.0058,5.9,0.002,200
6087,0.0011,1.6,0.002,200
6088,7.1E-05,2.1,0.002,200
6089,9.4E-05,1.9,0.002,200
6090,0.0099,1.3,0.002,200
6091,0.00012,1.7,0.002,200
6092,0.011,6.9,0.002,200
6093,0.00015,1.7,0.002,200
6094,9.1E-05,1.8,0.002,200
6095,0.00014,1.4,0.002,200
6096,0.0059,1.5,0.002,200
6097,0.00012,1.8,0.002,200
6098,0.00013,1.8,0.002,200
6099,0.00018,1.8,0.002,200
6100,0.0019,1.5,0.002,200
6101,0.00014,1.2,0.002,200
6102,0.00017,1.7,0.002,200
6103,0.00014,1.8,0.002,200
6104,0.00011,1.8,0.002,200
6105,0.0012,2.2,0.002,200
6106,0.00021,1.7,0.002,200
6107,0.00093,1.6,0.002,200
6108,0.00061,1.5,0.002,200
6109,0.00091,1.5,0.002,200
6110,0.00013,1.7,0.002,200
6111,0.00012,1.2,0.002,200
6112,0.00011,1.8,0.002,200
6113,0.00042,1.7,0.002,200
6114,0.0035,1.5,0.002,200
6115,0.00037,1.5,0.002,200
6116,0.00018,1.7,0.002,200
6117,0.00043,1.8,0.002,200
6118,0.00015,1.8,0.002,200
6119,0.00013,1.6,0.002,200
6120,0.00022,1.7,0.002,200
6121,0.00023,1.7,0.002,200
6122,0.0015,1.5,0.002,200
6123,0.0073,8.2,0.002,200
6124,0.003,1.6,0.002,200
6125,0.0023,7.8,0.002,200
6126,0.00017,1.2,0.002,200
6127,0.00076,1.5,0.002,200
6128,0.00017,1.8,0.002,200
6129,0.00023,1.7,0.002,200
6130,0.00018,1.7,0.002,200
6131,0.03,1.4,0.002,200
6132,0.00026,1.7,0.002,200
6133,7E-05,2,0.002,200
6134,0.0039,7.8,0.002,200
6135,0.00015,1.8,0.002,200
6136,8.4E-05,1.9,0.002,200
6137,0.001,1.6,0.002,200
6138,0.00017,1.2,0.002,200
6139,7.5E-05,1.9,0.002,200
6140,0.00017,1.7,0.002,200
6141,0.00049,1.6,0.002,200
6142,0.00043,1.6,0.002,200
6143,0.023,1.5,0.002,200
6144,0.00012,1.7,0.002,200
6145,6.7E-05,2,0.002,200
6146,0.00088,1.6,0.002,200
6147,0.0018,1.7,0.002,200
6148,0.018,1.4,0.002,200
6149,0.00038,1.6,0.002,200
6150,0.00014,1.6,0.002,200
6151,0.00018,1.8,0.002,200
6152,0.00016,1.7,0.002,200
6153,0.00023,1.7,0.002,200
6154,0.00034,1.6,0.002,200
6155,0.0012,1.5,0.002,200
6156,0.00041,1.7,0.002,200
6157,0.0011,1.6,0.002,200
6158,0.0021,7.5,0.002,200
6159,0.0025,1.6,0.002,200
6160,8.3E-05,1.9,0.002,200
6161,0.00069,1.7,0.002,200
6162,8.7E-05,1.9,0.002,200
6163,0.012,1.6,0.002,200
6164,7.9E-05,1.3,0.002,200
6165,0.03,1.4,0.002,200
6166,0.0038,8.1,0.002,200
6167,0.00034,1.6,0.002,200
6168,0.00013,1.7,0.002,200
6169,0.00015,1.7,0.002,200
6170,9.9E-05,1.8,0.002,200
6171,7.9E-05,1.8,0.002,200
6172,0.00024,1.7,0.002,200
6173,0.00013,1.2,0.002,200
6174,0.00028,1.6,0.002,200
6175,0.0011,1.5,0.002,200
6176,0.00016,1.7,0.002,200
6177,0.00011,1.7,0.002,200
6178,0.00032,1.9,0.002,200
6179,0.00014,1.7,0.002,200
6180,0.00015,1.5,0.002,200
6181,0.00054,1.6,0.002,200
6182,0.0038,8,0.002,200
6183,0.0011,1.6,0.002,200
6184,0.016,7.9,0.002,200
6185,0.00014,1.5,0.002,200
6186,0.011,1.3,0.002,200
6187,0.00012,1.7,0.002,200
6188,0.00014,1.6,0.002,200
6189,0.0002,1.7,0.002,200
6190,0.0001,1.9,0.002,200
6191,0.00021,1.2,0.002,200
6192,0.00011,1.7,0.002,200
6193,0.00044,1.6,0.002,200
6194,0.00014,1.3,0.002,200
6195,0.0095,8.2,0.002,200
6196,0.015,1.5,0.002,200
6197,0.03,1.4,0.002,200
6198,0.00017,1.7,0.002,200
6199,0.018,8,0.002,200
6200,9.5E-05,1.8,0.002,200
6201,0.00014,1.8,0.002,200
6202,0.00041,1.7,0.002,200
6203,0.0012,2.2,0.002,200
6204,0.0001,1.8,0.002,200
6205,0.0006,1.5,0.002,200
6206,9.4E-05,1.9,0.002,200
6207,0.0001,1.9,0.002,200
6208,0.0013,1.6,0.002,200
6209,0.00064,1.5,0.002,200
6210,0.024,1.4,0.002,200
6211,9.2E-05,1.9,0.002,200
6212,9.6E-05,1.8,0.002,200
6213,0.00038,1.7,0.002,200
6214,0.00043,1.7,0.002,200
6215,0.0045,7.2,0.002,200
6216,9.6E-05,1.8,0.002,200
6217,0.031,1.5,0.002,200
6218,0.00043,1.6,0.002,200
6219,6.8E-05,1.9,0.002,200
6220,7.1E-05,1.9,0.002,200
6221,9.8E-05,1.9,0.002,200
6222,7.5E-05,2,0.002,200
6223,0.0034,1.5,0.002,200
6224,0.00035,1.6,0.002,200
6225,0.011,1.4,0.002,200
6226,0.00014,1.8,0.002,200
6227,0.00018,1.6,0.002,200
6228,0.00046,1.6,0.002,200
6229,0.0051,2.1,0.002,200
6230,0.00018,1.7,0.002,200
6231,0.001,1.6,0.002,200
6232,0.00017,1.6,0.002,200
6233,0.00023,1.7,0.002,200
6234,0.0002,1.7,0.002,200
6235,0.00027,1.2,0.002,200
6236,0.00021,1.6,0.002,200
6237,9.5E-05,1.9,0.002,200
6238,0.0029,1.5,0.002,200
6239,0.012,1.4,0.002,200
6240,0.00068,1.7,0.002,200
6241,7.9E-05,1.9,0.002,200
6242,0.001,1.5,0.002,200
6243,0.0001,2,0.002,200
6244,0.00042,1.6,0.002,200
6245,0.00018,1.7,0.002,200
6246,0.00018,1.8,0.002,200
6247,0.00012,1.8,0.002,200
6248,0.0012,1.7,0.002,200
6249,0.00035,1.6,0.002,200
6250,0.00062,1.6,0.002,200
6251,0.00022,1.6,0.002,200
6252,0.00021,1.6,0.002,200
6253,6.7E-05,2,0.002,200
6254,0.00085,1.7,0.002,200
6255,0.00016,1.7,0.002,200
6256,7.2E-05,2,0.002,200
6257,0.0001,1.8,0.002,200
6258,0.00018,1.7,0.002,200
6259,0.00026,1.6,0.002,200
6260,0.00038,1.6,0.002,200
6261,7.6E-05,1.3,0.002,200
6262,0.00014,1.2,0.002,200
6263,0.0001,1.9,0.002,200
6264,0.00021,1.2,0.002,200
6265,0.00015,1.7,0.002,200
6266,0.00012,1.9,0.002,200
6267,0.00026,1.6,0.002,200
6268,7.7E-05,1.3,0.002,200
6269,9.9E-05,1.8,0.002,200
6270,0.00081,1.5,0.002,200
6271,0.00021,1.7,0.002,200
6272,0.0013,1.5,0.002,200
6273,0.00079,1.6,0.002,200
6274,0.0098,2.3,0.002,200
6275,0.0001,1.8,0.002,200
6276,0.011,7.4,0.002,200
6277,0.00023,1.7,0.002,200
6278,0.0068,1.6,0.002,200
6279,0.0046,8.5,0.002,200
6280,7E-05,2,0.002,200
6281,0.013,7.6,0.002,200
6282,8.7E-05,1.8,0.002,200
6283,0.001,1.5,0.002,200
6284,9.3E-05,1.9,0.002,200
6285,0.00054,1.6,0.002,200
6286,0.12,8.6,0.002,200
6287,0.00074,1.6,0.002,200
6288,0.00027,1.6,0.002,200
6289,0.00012,1.8,0.002,200
6290,6.6E-05,2,0.002,200
6291,0.0002,1.8,0.002,200
6292,0.00015,1.7,0.002,200
6293,0.00025,1.7,0.002,200
6294,8.7E-05,1.9,0.002,200
6295,0.0097,1.3,0.002,200
6296,0.028,1.4,0.002,200
6297,0.00091,1.5,0.002,200
6298,0.00065,1.6,0.002,200
6299,0.0054,7.6,0.002,200
6300,0.00038,1.6,0.002,200
6301,0.01,1.3,0.002,200
6302,0.00018,1.6,0.002,200
6303,0.0027,6.4,0.002,200
6304,0.00011,1.9,0.002,200
6305,0.0003,1.2,0.002,200
6306,0.013,1.3,0.002,200
6307,9.1E-05,1.7,0.002,200
6308,0.00015,1.7,0.002,200
6309,0.006,8.7,0.002,200
6310,0.0002,1.6,0.002,200
6311,0.015,1.4,0.002,200
6312,0.067,1.3,0.002,200
6313,0.00013,1.8,0.002,200
6314,0.01,1.3,0.002,200
6315,0.004,2.3,0.002,200
6316,0.0092,1.5,0.002,200
6317,0.00039,1.6,0.002,200
6318,0.00025,1.6,0.002,200
6319,0.0003,1.7,0.002,200
6320,0.0027,1.5,0.002,200
6321,0.00025,1.5,0.002,200
6322,0.00014,1.6,0.002,200
6323,0.00089,1.6,0.002,200
6324,0.00027,1.4,0.002,200
6325,7.4E-05,2,0.002,200
6326,0.0002,1.7,0.002,200
6327,0.00016,1.8,0.002,200
6328,8E-05,2,0.002,200
6329,0.00034,1.5,0.002,200
6330,0.00031,1.9,0.002,200
6331,0.022,1.5,0.002,200
6332,0.0002,1.8,0.002,200
6333,0.00041,1.7,0.002,200
6334,0.00049,1.7,0.002,200
6335,0.00036,1.6,0.002,200
6336,6.9E-05,1.9,0.002,200
6337,0.0053,6.9,0.002,200
6338,0.00017,1.4,0.002,200
6339,0.002,1.7,0.002,200
6340,0.00025,1.2,0.002,200
6341,0.01,8,0.002,200
6342,9.8E-05,2,0.002,200
6343,0.00015,1.4,0.002,200
6344,0.00018,1.8,0.002,200
6345,0.00035,1.7,0.002,200
6346,7E-05,1.9,0.002,200
6347,0.00017,1.7,0.002,200
6348,0.00031,1.6,0.002,200
6349,0.00015,1.6,0.002,200
6350,0.00013,1.2,0.002,200
6351,0.00048,1.6,0.002,200
6352,0.00011,1.8,0.002,200
6353,0.00096,1.4,0.002,200
6354,0.0026,2.3,0.002,200
6355,0.00011,1.7,0.002,200
6356,0.00033,1.6,0.002,200
6357,0.00072,1.9,0.002,200
6358,0.00021,1.6,0.002,200
6359,0.00062,1.7,0.002,200
6360,8.1E-05,2,0.002,200
6361,0.00021,1.6,0.002,200
6362,0.0015,1.5,0.002,200
6363,6.9E-05,2,0.002,200
6364,0.00022,1.6,0.002,200
6365,0.00074,1.5,0.002,200
6366,0.00053,1.6,0.002,200
6367,0.00017,1.8,0.002,200
6368,0.0092,1.2,0.002,200
6369,0.00033,1.6,0.002,200
6370,9E-05,1.3,0.002,200
6371,0.00014,1.8,0.002,200
6372,0.00032,1.6,0.002,200
6373,0.0001,1.7,0.002,200
6374,7.6E-05,1.9,0.002,200
6375,7E-05,2,0.002,200
6376,0.0011,2.3,0.002,200
6377,0.00032,1.5,0.002,200
6378,0.011,1.4,0.002,200
6379,0.00077,1.6,0.002,200
6380,0.00013,1.9,0.002,200
6381,0.00051,1.4,0.002,200
6382,0.00013,1.8,0.002,200
6383,0.00021,1.7,0.002,200
6384,0.00071,1.6,0.002,200
6385,0.00029,1.5,0.002,200
6386,0.0016,2,0.002,200
6387,0.014,1.3,0.002,200
6388,0.00011,1.8,0.002,200
6389,0.00019,1.7,0.002,200
6390,0.0046,7.9,0.002,200
6391,0.00054,1.5,0.002,200
6392,0.00014,1.2,0.002,200
6393,0.00017,1.7,0.002,200
6394,6.5E-05,2,0.002,200
6395,7E-05,2,0.002,200
6396,0.00033,1.6,0.002,200
6397,0.00026,1.6,0.002,200
6398,0.00019,1.6,0.002,200
6399,8.9E-05,1.9,0.002,200
6400,0.0011,1.5,0.002,200
6401,0.0011,1.5,0.002,200
6402,0.011,6.8,0.002,200
6403,0.0011,1.5,0.002,200
6404,0.00024,1.6,0.002,200
6405,0.00058,1.6,0.002,200
6406,9.5E-05,1.9,0.002,200
6407,0.00092,1.6,0.002,200
6408,0.00014,1.7,0.002,200
6409,0.024,1.3,0.002,200
6410,0.00037,1.6,0.002,200
6411,0.0026,1.7,0.002,200
6412,0.00052,1.6,0.002,200
6413,0.00018,1.7,0.002,200
6414,9.1E-05,1.8,0.002,200
6415,0.00015,1.7,0.002,200
6416,8.9E-05,1.9,0.002,200
6417,0.00013,1.2,0.002,200
6418,0.00025,1.7,0.002,200
6419,0.00012,1.6,0.002,200
6420,0.00032,1.6,0.002,200
6421,0.0031,1.7,0.002,200
6422,0.00017,1.6,0.002,200
6423,0.00021,1.8,0.002,200
6424,0.024,1.3,0.002,200
6425,0.00068,1.7,0.002,200
6426,0.00043,1.6,0.002,200
6427,0.00031,1.7,0.002,200
6428,0.002,1.6,0.002,200
6429,0.00034,1.6,0.002,200
6430,0.0001,1.9,0.002,200
6431,0.0014,1.6,0.002,200
6432,8.6E-05,1.9,0.002,200
6433,9.3E-05,1.9,0.002,200
6434,9.4E-05,1.8,0.002,200
6435,0.00017,1.6,0.002,200
6436,0.00071,1.5,0.002,200
6437,9E-05,1.7,0.002,200
6438,0.00039,1.6,0.002,200
6439,0.00015,1.7,0.002,200
6440,0.00048,1.7,0.002,200
6441,0.024,1.3,0.002,200
6442,0.00012,1.9,0.002,200
6443,0.012,8.3,0.002,200
6444,0.00048,1.6,0.002,200
6445,0.00027,1.6,0.002,200
6446,8.3E-05,1.9,0.002,200
6447,7.8E-05,2,0.002,200
6448,0.0013,1.5,0.002,200
6449,0.0023,2.4,0.002,200
6450,0.00017,1.8,0.002,200
6451,0.00055,1.6,0.002,200
6452,0.00039,1.6,0.002,200
6453,0.00021,1.7,0.002,200
6454,0.035,7.7,0.002,200
6455,0.00024,1.6,0.002,200
6456,7.6E-05,1.9,0.002,200
6457,0.0012,1.6,0.002,200
6458,0.0001,1.8,0.002,200
6459,0.012,1.6,0.002,200
6460,0.00049,1.5,0.002,200
6461,0.00015,1.2,0.002,200
6462,0.00015,1.3,0.002,200
6463,0.00057,1.3,0.002,200
6464,0.018,5.7,0.002,200
6465,9.2E-05,1.7,0.002,200
6466,0.00016,1.2,0.002,200
6467,0.00015,1.7,0.002,200
6468,0.00026,1.6,0.002,200
6469,8.1E-05,1.9,0.002,200
6470,8.8E-05,1.8,0.002,200
6471,0.00053,1.5,0.002,200
6472,0.016,1.3,0.002,200
6473,8.6E-05,2,0.002,200
6474,0.00018,1.7,0.002,200
6475,0.00012,1.8,0.002,200
6476,0.00033,1.7,0.002,200
6477,0.00017,1.2,0.002,200
6478,7.8E-05,1.9,0.002,200
6479,0.0015,1.6,0.002,200
6480,0.00017,1.2,0.002,200
6481,0.00012,1.7,0.002,200
6482,0.0066,7.7,0.002,200
6483,0.00027,1.7,0.002,200
6484,0.0025,1.6,0.002,200
6485,0.00014,1.6,0.002,200
6486,7.2E-05,2,0.002,200
6487,0.00014,1.8,0.002,200
6488,0.019,1.4,0.002,200
6489,0.00037,1.7,0.002,200
6490,0.0058,1.6,0.002,200
6491,0.00013,1.8,0.002,200
6492,0.00025,1.6,0.002,200
6493,0.00026,1.7,0.002,200
6494,0.00018,1.2,0.002,200
6495,0.00011,1.9,0.002,200
6496,0.00039,1.5,0.002,200
6497,0.00017,1.7,0.002,200
6498,0.00012,1.8,0.002,200
6499,0.00025,1.7,0.002,200
6500,0.001,2,0.002,200
6501,9.4E-05,1.9,0.002,200
6502,0.00015,1.6,0.002,200
6503,0.00015,1.6,0.002,200
6504,0.0024,2.1,0.002,200
6505,0.0016,1.7,0.002,200
6506,0.00034,1.6,0.002,200
6507,0.032,1.5,0.002,200
6508,0.00073,1.5,0.002,200
6509,0.00028,1.7,0.002,200
6510,0.00068,1.6,0.002,200
6511,0.0005,1.6,0.002,200
6512,0.00016,1.4,0.002,200
6513,0.003,8.4,0.002,200
6514,0.00026,1.6,0.002,200
6515,0.0042,1.6,0.002,200
6516,0.0017,1.4,0.002,200
6517,0.00015,1.6,0.002,200
6518,0.00071,1.1,0.002,200
6519,0.0015,1.5,0.002,200
6520,8.4E-05,1.9,0.002,200
6521,0.00032,1.5,0.002,200
6522,0.0008,1.5,0.002,200
6523,0.00012,1.8,0.002,200
6524,0.00014,1.7,0.002,200
6525,0.00012,1.7,0.002,200
6526,0.0012,1.5,0.002,200
6527,6.7E-05,2,0.002,200
6528,0.00017,1.2,0.002,200
6529,7.2E-05,2,0.002,200
6530,0.0003,1.8,0.002,200
6531,0.00015,1.2,0.002,200
6532,0.00025,1.6,0.002,200
6533,0.00024,1.6,0.002,200
6534,0.00019,1.2,0.002,200
6535,0.00047,1.6,0.002,200
6536,0.00017,1.8,0.002,200
6537,0.0025,1.5,0.002,200
6538,0.00091,1.5,0.002,200
6539,0.011,1.4,0.002,200
6540,0.00053,1.6,0.002,200
6541,6.7E-05,1.9,0.002,200
6542,0.022,6.8,0.002,200
6543,0.00023,1.7,0.002,200
6544,0.00013,1.4,0.002,200
6545,0.00015,1.6,0.002,200
6546,0.00038,1.6,0.002,200
6547,0.00047,1.6,0.002,200
6548,0.00014,1.2,0.002,200
6549,0.00014,1.5,0.002,200
6550,0.0005,1.5,0.002,200
6551,0.00023,1.8,0.002,200
6552,0.0045,7.2,0.002,200
6553,0.00034,1.6,0.002,200
6554,6.9E-05,2,0.002,200
6555,0.00016,1.7,0.002,200
6556,0.00033,1.6,0.002,200
6557,7.6E-05,1.9,0.002,200
6558,0.02,1.4,0.002,200
6559,0.00013,1.6,0.002,200
6560,0.0014,1.6,0.002,200
6561,7.2E-05,2,0.002,200
6562,0.00011,1.8,0.002,200
6563,9.8E-05,1.8,0.002,200
6564,0.00015,1.2,0.002,200
6565,0.00012,1.7,0.002,200
6566,0.0003,1.6,0.002,200
6567,0.0039,7.8,0.002,200
6568,0.00018,1.7,0.002,200
6569,7.1E-05,2,0.002,200
6570,0.00011,1.8,0.002,200
6571,7.1E-05,2,0.002,200
6572,0.00018,1.6,0.002,200
6573,0.00013,1.7,0.002,200
6574,7.2E-05,1.9,0.002,200
6575,9.5E-05,1.9,0.002,200
6576,0.00013,1.3,0.002,200
6577,0.00012,1.8,0.002,200
6578,0.00044,1.6,0.002,200
6579,0.00083,1.5,0.002,200
6580,0.00077,1.5,0.002,200
6581,8.4E-05,1.9,0.002,200
6582,8.8E-05,1.9,0.002,200
6583,0.00013,1.8,0.002,200
6584,0.00011,1.8,0.002,200
6585,0.0026,1.5,0.002,200
6586,0.00011,1.8,0.002,200
6587,7.2E-05,1.9,0.002,200
6588,0.0001,1.9,0.002,200
6589,0.00014,1.2,0.002,200
6590,0.00028,1.6,0.002,200
6591,0.00028,1.6,0.002,200
6592,7E-05,2,0.002,200
6593,0.00041,1.5,0.002,200
6594,0.0068,8.7,0.002,200
6595,0.00011,1.8,0.002,200
6596,0.00011,1.9,0.002,200
6597,0.00014,1.7,0.002,200
6598,0.00025,1.3,0.002,200
6599,0.00028,1.3,0.002,200
6600,7.8E-05,1.3,0.002,200
6601,0.00053,1.6,0.002,200
6602,6.9E-05,2,0.002,200
6603,0.0097,8.2,0.002,200
6604,0.00013,1.8,0.002,200
6605,0.0002,1.7,0.002,200
6606,0.00013,1.7,0.002,200
6607,0.0024,1.6,0.002,200
6608,0.00031,1.6,0.002,200
6609,9E-05,1.8,0.002,200
6610,0.00091,1.6,0.002,200
6611,0.00013,1.8,0.002,200
6612,0.00089,1.5,0.002,200
6613,0.00012,1.7,0.002,200
6614,0.00028,1.6,0.002,200
6615,0.0003,1.4,0.002,200
6616,9.9E-05,1.9,0.002,200
6617,0.0003,1.5,0.002,200
6618,0.0094,8.4,0.002,200
6619,0.00011,1.7,0.002,200
6620,0.0025,1.6,0.002,200
6621,0.00023,1.7,0.002,200
6622,0.017,1.2,0.002,200
6623,0.00013,1.7,0.002,200
6624,8.8E-05,1.3,0.002,200
6625,0.00081,1.6,0.002,200
6626,0.00027,1.2,0.002,200
6627,0.00044,1.7,0.002,200
6628,8E-05,1.9,0.002,200
6629,0.0092,9,0.002,200
6630,0.00013,1.7,0.002,200
6631,0.00048,1.6,0.002,200
6632,0.00032,1.5,0.002,200
6633,0.00014,1.8,0.002,200
6634,0.0044,2.1,0.002,200
6635,0.00023,1.6,0.002,200
6636,0.00019,1.7,0.002,200
6637,0.00041,1.2,0.002,200
6638,0.00011,1.8,0.002,200
6639,0.00011,1.8,0.002,200
6640,0.0011,2.1,0.002,200
6641,0.00015,1.7,0.002,200
6642,0.013,8.9,0.002,200
6643,0.0014,1.6,0.002,200
6644,0.00014,1.2,0.002,200
6645,0.00025,1.7,0.002,200
6646,0.0021,1.7,0.002,200
6647,0.00012,1.7,0.002,200
6648,0.02,1.5,0.002,200
6649,0.0001,1.8,0.002,200
6650,0.00018,1.7,0.002,200
6651,0.0012,1.5,0.002,200
6652,0.00016,1.7,0.002,200
6653,0.00034,1.2,0.002,200
6654,9.5E-05,1.8,0.002,200
6655,0.00066,1.5,0.002,200
6656,0.00021,1.7,0.002,200
6657,0.0018,2.2,0.002,200
6658,0.00027,1.6,0.002,200
6659,0.0013,2.3,0.002,200
6660,0.00021,1.6,0.002,200
6661,0.00038,1.7,0.002,200
6662,0.00025,1.6,0.002,200
6663,0.012,8.2,0.002,200
6664,1.8E-05,1.5,0.002,500
6665,1.3E-05,1.8,0.002,500
6666,0.00038,1.3,0.002,500
6667,5.8E-05,1.4,0.002,500
6668,1.3E-05,1.8,0.002,500
6669,1.6E-05,1.7,0.002,500
6670,0.0002,1.5,0.002,500
6671,5.6E-05,1.4,0.002,500
6672,0.00035,1.4,0.002,500
6673,5.4E-05,1.3,0.002,500
6674,0.00058,1.3,0.002,500
6675,4.9E-05,1.3,0.002,500
6676,1.5E-05,1.6,0.002,500
6677,2.6E-05,1.4,0.002,500
6678,1.4E-05,1.7,0.002,500
6679,0.00031,1.3,0.002,500
6680,1.3E-05,1.7,0.002,500
6681,1.5E-05,1.6,0.002,500
6682,2E-05,1.5,0.002,500
6683,7.9E-05,1.3,0.002,500
