,mdot,m,Z,tage
194,0.32,6.2,0.002,10
195,0.22,10.7,0.002,10
196,0.96,17,0.002,10
197,1.9,11.3,0.002,10
198,1.7,22.4,0.002,10
199,9.4,14,0.002,10
200,1.2,10.8,0.002,10
201,2.2,9.6,0.002,10
202,0.89,7.2,0.002,10
203,2.5,18.4,0.002,10
204,19,13.6,0.002,10
205,2.4,23.6,0.002,10
206,8.5,11.3,0.002,10
207,17,21.9,0.002,10
208,4.9,27.2,0.002,10
209,0.79,15.4,0.002,10
210,2.2,31.7,0.002,10
211,21,14.9,0.002,10
212,0.078,9.1,0.002,10
213,0.14,5.8,0.002,10
214,2.5,33.1,0.002,10
215,0.053,7,0.002,10
216,1.9,33.4,0.002,10
217,1.4,16.9,0.002,10
218,2,15,0.002,10
219,1.1,28.1,0.002,10
220,0.17,6.3,0.002,10
221,2.9,33.1,0.002,10
222,2,33.5,0.002,10
223,0.26,7,0.002,10
224,0.21,6.6,0.002,10
225,4.3,16,0.002,10
226,0.17,6.9,0.002,10
227,0.0088,1.9,0.002,10
228,0.12,6.8,0.002,10
229,0.89,16.8,0.002,10
230,2.5,23.4,0.002,10
231,1.2,27.6,0.0002,10
232,0.086,6.2,0.02,10
233,0.82,12.9,0.02,10
234,2,19.4,0.0002,10
235,1.9,22.8,0.0002,10
236,6.5,25,0.0002,10
237,3.5,28,0.0002,10
238,1.6,14.4,0.0002,10
239,4.1,7.6,0.0002,10
240,4.4,33.1,0.0002,10
241,3,16.4,0.0002,10
242,0.69,26.9,0.0002,10
243,2.5,14.7,0.0002,10
244,1.1,15.1,0.0002,10
245,1.5,17.1,0.0002,10
246,2.5,13.8,0.0002,10
247,0.87,25.6,0.0002,10
248,1.4,23.6,0.0002,10
249,4.1,16.6,0.0002,10
250,16,26.4,0.0002,10
251,1.3,23.3,0.0002,10
252,1.6,17.1,0.0002,10
253,1.9,17.4,0.0002,10
254,3.4,14.9,0.0002,10
255,0.65,13.9,0.0002,10
256,2.3,25,0.0002,10
257,1.3,28.6,0.0002,10
258,0.07,6.5,0.0002,10
259,4.5,29.5,0.0002,10
260,9.3,44.3,0.0002,10
261,4.5,16.4,0.0002,10
262,0.93,22.1,0.0002,10
263,1.7,15.2,0.0002,10
264,0.69,14.1,0.0002,10
265,0.95,6.9,0.0002,10
266,4.1,24.2,0.0002,10
267,2.5,18.1,0.0002,10
268,2.9,16.7,0.0002,10
269,6.7,15.1,0.0002,10
270,1.5,7.3,0.02,10
271,0.13,24.9,0.0002,10
272,0.3,6.5,0.0002,10
273,4.6,20.6,0.0002,10
274,2,6.7,0.0002,10
275,1.9,19.6,0.0002,10
276,1.5,16.3,0.0002,10
277,2.4,31.8,0.0002,10
278,1.2,14.8,0.0002,10
279,12,24.8,0.0002,10
280,0.93,14.9,0.0002,10
281,2.1,26.9,0.0002,10
282,0.00025,1.6,0.02,10
283,6.2,7.6,0.02,10
284,0.074,6,0.02,10
285,0.99,8.4,0.02,10
286,0.41,8.3,0.02,10
287,0.00035,1.9,0.02,10
288,1,16.7,0.0002,10
289,1.5,13.8,0.0002,10
290,1.1,26.9,0.0002,10
291,0.71,40.5,0.0002,10
292,0.25,6.8,0.0002,10
293,1.8,38.4,0.0002,10
294,0.24,13.8,0.0002,10
295,2.9,14.4,0.0002,10
296,0.049,7.2,0.0002,10
297,1.8,16.4,0.0002,10
298,1.5,16.1,0.0002,10
299,2.2,30.4,0.0002,10
300,3.4,17.3,0.0002,10
301,1.3,14.6,0.0002,10
302,7.7,23.7,0.0002,10
303,0.05,6.8,0.0002,10
304,1.8,19.8,0.0002,10
305,1.6,15.3,0.0002,10
306,1.1,16.1,0.0002,10
307,3.8,25.2,0.0002,10
308,3.1,23.9,0.0002,10
309,1.4,15.6,0.002,10
310,5.3,11.5,0.0002,10
311,0.23,19.9,0.0002,10
312,1.9,24.3,0.002,10
313,2,16.8,0.002,10
314,0.19,8.5,0.002,10
