,mdot,m,Z,tage,is_bh,mdot_gs,LEdd,MEdd,mdot_ratio,XLsph,XLsph2,LXtot,b,Lx,ratio,ratio_beamed,theta,theta_deg,theta_half_deg,zeta,R_g,a*,r_schw,r_isco_nospin,r_isco,r_sph,r_out,P_inflow_at_rsph,P_envelope,P_wind,P_inflow_days,P_envelope_days,P_wind_days
142,14.0,24.8,0.0002,10,1,8.823864932694503e+20,2.976e+39,3.968e+19,22.23756283441155,1.106678330022096e+41,2.698042199643376e+40,1.2206905846695378e+40,0.14762111580487705,8.269078431049286e+40,4.101782878593877,27.78588182476239,1.1005571392596292,63.05727919256834,31.52863959628417,2.0,3657885.92,0.998,2.0,6.0,1.25,27.796953543014435,1840.9619573613106,0.7716842809045773,3384.814552707047,109203.64418719431,8.931531028988162e-06,0.03917609436003527,1.2639310669814157
164,8.4,14.0,0.002,10,1,5.2943189596167025e+20,1.68e+39,2.24e+19,23.63535249828885,7.162333571601737e+40,1.7205800541725763e+40,6.993409211684387e+39,0.1306768606637865,5.351681373550489e+40,4.162743578383564,31.85524627113386,1.0339302930085186,59.239842100112675,29.619921050056337,2.0,2064935.6,0.998,2.0,6.000000000000001,1.25,29.544190622861066,2210.3930210328967,0.517262716658323,2895.3827605488036,104131.47726038095,5.98683699836022e-06,0.033511374543388935,1.2052254312544093
179,9.4,14.0,0.002,10,1,5.924595026237738e+20,1.68e+39,2.24e+19,26.44908493856133,9.21150613981867e+40,2.1546266097886732e+40,7.18237222384123e+39,0.1043521875106018,6.8828190334884215e+40,4.275221561810255,40.969160913621565,0.9218214448304488,52.81647825343639,26.408239126718193,2.013759785227254,2064935.6,0.998,2.0,6.000000000000001,1.25,33.061356173201666,3076.362687263832,0.7098869653440605,6146.430053832203,268971.725241067,8.21628432111181e-06,0.07113923673416901,3.1130986717716085
184,19.0,13.6,0.002,10,1,1.197524526579968e+21,1.632e+39,2.176e+19,55.033296258270596,4.538074469406374e+41,9.061761781575335e+40,8.172955450152751e+39,0.024103039261536358,3.3908402012999077e+41,5.007938388573988,207.77207115808255,0.4400044777577769,25.21039954237852,12.60519977118926,4.471836482947665,2005937.44,0.998,2.0,6.000000000000001,1.25,68.79162032283824,12479.693182117408,5.393710033140856,177510.61694957878,14803909.283004615,6.242719945764879e-05,2.0545210295090137,171.34154262736817
186,8.5,11.3,0.002,10,1,5.357346566278805e+20,1.356e+39,1.808e+19,29.631341627648247,9.579719120896956e+40,2.1827487869428394e+40,5.951257059741732e+39,0.08314195434930391,7.157947039275435e+40,4.3888326399275295,52.787220053653634,0.8213174714292694,47.058024753253704,23.529012376626852,2.2966616042636674,1666698.02,0.998,2.0,5.999999999999999,1.25,37.03917703456032,3792.889426783345,0.7885672855583005,8269.066085199003,396335.4078576234,9.126936175443292e-06,0.09570678339350698,4.587215368722493
187,17.0,21.9,0.002,10,1,1.071469313255761e+21,2.628e+39,3.504e+19,30.57846213629455,1.9913583476844487e+41,4.505034026019011e+40,1.1616537649859355e+40,0.07807133042029454,1.4879389895525144e+41,4.4202959093833165,56.618683011891726,0.79553192710592,45.58062189107827,22.790310945539137,2.380032556712635,3230149.26,0.998,2.0,6.0,1.25,38.22307767036817,4022.326006840367,1.669523517982054,18488.24847475886,909503.8964388064,1.9323188865533037e-05,0.21398435734674606,10.52666546804174
191,21.0,14.9,0.002,10,1,1.3235797399041752e+21,1.788e+39,2.384e+19,55.51928439195366,5.0689433026890436e+41,1.0104077499335597e+41,8.969914003335758e+39,0.02368291415181,3.787504335757692e+41,5.016730426921566,211.82910155244363,0.4361374932075993,24.98883764821105,12.494418824105525,4.512788777192513,2197681.46,0.998,2.0,6.000000000000001,1.25,69.39910548994207,12696.961932153588,6.056885440904735,202740.84353912188,17049062.25486468,7.010284075121221e-05,2.3465375409620592,197.32710943130417
210,4.1,7.6,0.0002,10,1,2.5841318731462472e+20,9.12e+38,1.216e+19,21.251084483110585,3.0629512996087123e+40,7.550895653362835e+39,3.6994440308535895e+39,0.16164440035089306,2.2886311080513416e+40,4.056407928567531,25.09463934266822,1.15307340485683,66.06623956707604,33.03311978353802,2.0,1120965.04,0.998,2.0,6.000000000000001,1.25,26.563855603888232,1606.669475841253,0.20808101996911207,761.2079792606482,22661.870432384043,2.40834513853139e-06,0.008810277537738984,0.26229016704148195
221,16.0,26.4,0.0002,10,1,1.0084417065936574e+21,3.1680000000000004e+39,4.224e+19,23.874093432614995,1.381361419722752e+41,3.3103993346273696e+40,1.3219411120303025e+40,0.1280763911365772,1.0321505004155058e+41,4.172793914237065,32.580508220186424,1.0233580793189063,58.63409887558746,29.31704943779373,2.0,3893878.56,0.998,2.0,6.0,1.25,29.842616790768748,2278.053487670188,1.0034114954918678,5847.000104829965,214099.4128565953,1.1613558975600321e-05,0.06767361232442089,2.4780024636180014
239,6.7,15.1,0.0002,10,1,4.222849646360941e+20,1.812e+39,2.416e+19,17.47868231109661,3.9184542535814763e+40,1.0148854019737064e+40,6.996099356322781e+39,0.23894914591182864,2.9278612106461834e+40,3.860981984725597,16.15817445168975,1.4117295793162992,80.88614670860315,40.443073354301575,2.0,2227180.54,0.998,2.0,6.000000000000001,1.25,21.848352888870764,893.9419456364357,0.2379658323764929,398.37844544841784,8431.53561823088,2.754234171024224e-06,0.004610861637134465,0.09758721780359816
248,12.0,24.8,0.0002,10,1,7.56331279945243e+20,2.976e+39,3.968e+19,19.060768143781328,7.825135048856305e+40,1.9822350854522762e+40,1.1748153423529458e+40,0.20092874095663815,5.846925316704588e+40,3.9476321987666183,19.64692646742133,1.2900948339165197,73.91698915504746,36.95849457752373,2.0,3657885.92,0.998,2.0,6.0,1.25,23.825960179726657,1159.3229818951695,0.4994274146372373,1182.4436278085273,29082.948687539912,5.78040989163469e-06,0.013685690136672769,0.33660820240208233
251,6.2,7.6,0.02,10,1,3.907711613050423e+20,9.12e+38,1.216e+19,32.13578629153308,7.718248668798954e+40,1.7266890476815428e+40,4.076612865180384e+39,0.07068788683398836,5.767060026499838e+40,4.469970246908317,63.23530730811226,0.7565011420858206,43.344322638344146,21.672161319172073,2.516447377134849,1120965.04,0.998,2.0,6.000000000000001,1.25,40.16973286441634,4415.625002871363,0.6661203344404565,8048.948929963221,412826.1543843787,7.70972609306084e-06,0.0931591311338336,4.7780804905599386
274,5.3,11.5,0.0002,10,1,3.34046315309149e+20,1.38e+39,1.84e+19,18.154691049410268,3.251199142535132e+40,8.338698019618296e+39,5.380522002527029e+39,0.22148541602715835,2.4292895211968596e+40,3.8989289873384263,17.603547255049712,1.3570014313973735,77.75045481228102,38.875227406140525,2.0,1696197.1,0.998,2.0,5.999999999999999,1.25,22.69336381176284,1001.7280555245495,0.20178752021549576,393.1843530661731,8885.615049184786,2.3355037061978678e-06,0.004550744827154781,0.10284276677297204
