,Alive,BH_ratio,Dead,Trans
1819,352,0.65,72,76
1820,387,0.7000000000000001,38,75
1821,398,0.75,32,70
1822,395,0.8,32,73
1823,425,0.8500000000000001,24,51
1824,443,0.9,21,36
1825,464,0.9500000000000001,14,22
1826,473,1.0,4,23
1827,165,0.0,136,199
1828,163,0.05,152,185
1829,209,0.1,112,179
1830,213,0.15000000000000002,121,166
1831,223,0.2,112,165
1832,255,0.25,93,152
1833,253,0.30000000000000004,99,148
1834,278,0.35000000000000003,87,135
1835,272,0.4,91,137
1836,295,0.45,69,136
1837,314,0.5,70,116
1838,325,0.55,55,120
1839,359,0.6000000000000001,49,92
1840,357,0.65,61,82
1841,372,0.7000000000000001,39,89
1842,383,0.75,43,74
1843,395,0.8,35,70
1844,416,0.8500000000000001,29,55
1845,446,0.9,15,39
1846,457,0.9500000000000001,17,26
1847,482,1.0,6,12
1848,160,0.0,136,204
1849,181,0.05,130,189
1850,196,0.1,120,184
1851,216,0.15000000000000002,113,171
1852,224,0.2,117,159
1853,243,0.25,104,153
1854,257,0.30000000000000004,105,138
1855,274,0.35000000000000003,90,136
1856,305,0.4,70,125
1857,314,0.45,73,113
1858,326,0.5,65,109
1859,317,0.55,70,113
1860,345,0.6000000000000001,64,91
1861,370,0.65,51,79
1862,383,0.7000000000000001,40,77
1863,398,0.75,36,66
1864,409,0.8,30,61
1865,417,0.8500000000000001,23,60
1866,436,0.9,22,42
1867,465,0.9500000000000001,13,22
1868,472,1.0,4,24
1869,173,0.0,129,198
1870,188,0.05,122,190
1871,192,0.1,129,179
1872,191,0.15000000000000002,135,174
1873,238,0.2,104,158
1874,254,0.25,85,161
1875,270,0.30000000000000004,92,138
1876,248,0.35000000000000003,111,141
1877,303,0.4,79,118
1878,305,0.45,75,120
1879,316,0.5,68,116
1880,334,0.55,63,103
1881,347,0.6000000000000001,68,85
1882,357,0.65,54,89
1883,375,0.7000000000000001,47,78
1884,379,0.75,33,88
1885,408,0.8,22,70
1886,427,0.8500000000000001,28,45
1887,442,0.9,22,36
1888,459,0.9500000000000001,11,30
1889,478,1.0,8,14
1890,160,0.0,145,195
1891,183,0.05,123,194
1892,193,0.1,131,176
1893,208,0.15000000000000002,131,161
1894,227,0.2,105,168
1895,248,0.25,99,153
1896,251,0.30000000000000004,96,153
1897,270,0.35000000000000003,97,133
1898,267,0.4,90,143
1899,308,0.45,84,108
1900,300,0.5,75,125
1901,319,0.55,69,112
1902,335,0.6000000000000001,67,98
1903,356,0.65,53,91
1904,384,0.7000000000000001,43,73
1905,386,0.75,42,72
1906,418,0.8,39,43
1907,434,0.8500000000000001,27,39
1908,438,0.9,20,42
1909,469,0.9500000000000001,9,22
1910,472,1.0,6,22
1911,173,0.0,135,192
1912,175,0.05,135,190
1913,188,0.1,124,188
1914,227,0.15000000000000002,117,156
1915,227,0.2,124,149
1916,251,0.25,91,158
1917,262,0.30000000000000004,92,146
1918,278,0.35000000000000003,89,133
1919,284,0.4,81,135
1920,297,0.45,72,131
1921,341,0.5,46,113
1922,341,0.55,67,92
1923,355,0.6000000000000001,59,86
1924,365,0.65,61,74
1925,392,0.7000000000000001,46,62
1926,405,0.75,38,57
1927,417,0.8,33,50
1928,429,0.8500000000000001,26,45
1929,444,0.9,19,37
1930,457,0.9500000000000001,13,30
1931,477,1.0,7,16
1932,180,0.0,125,195
1933,188,0.05,109,203
1934,185,0.1,119,196
1935,207,0.15000000000000002,125,168
1936,221,0.2,104,175
1937,240,0.25,116,144
1938,255,0.30000000000000004,93,152
1939,269,0.35000000000000003,102,129
1940,302,0.4,63,135
1941,307,0.45,72,121
1942,335,0.5,66,99
1943,340,0.55,61,99
1944,350,0.6000000000000001,56,94
1945,358,0.65,52,90
1946,388,0.7000000000000001,44,68
1947,384,0.75,30,86
1948,421,0.8,31,48
1949,417,0.8500000000000001,24,59
1950,432,0.9,18,50
1951,456,0.9500000000000001,12,32
1952,471,1.0,6,23
1953,177,0.0,126,197
1954,178,0.05,140,182
1955,197,0.1,120,183
1956,221,0.15000000000000002,133,146
1957,228,0.2,101,171
1958,257,0.25,93,150
1959,247,0.30000000000000004,97,156
1960,268,0.35000000000000003,97,135
1961,290,0.4,94,116
1962,291,0.45,89,120
1963,312,0.5,81,107
1964,344,0.55,64,92
1965,362,0.6000000000000001,42,96
1966,364,0.65,55,81
1967,387,0.7000000000000001,42,71
1968,390,0.75,39,71
1969,423,0.8,28,49
1970,429,0.8500000000000001,28,43
1971,432,0.9,28,40
1972,457,0.9500000000000001,13,30
1973,472,1.0,5,23
1974,176,0.0,137,187
1975,175,0.05,138,187
1976,192,0.1,118,190
1977,208,0.15000000000000002,116,176
1978,234,0.2,105,161
1979,250,0.25,105,145
1980,264,0.30000000000000004,93,143
1981,270,0.35000000000000003,91,139
1982,314,0.4,79,107
1983,282,0.45,92,126
1984,307,0.5,76,117
1985,326,0.55,74,100
1986,354,0.6000000000000001,61,85
1987,364,0.65,61,75
1988,387,0.7000000000000001,39,74
1989,388,0.75,42,70
1990,417,0.8,32,51
1991,423,0.8500000000000001,23,54
1992,442,0.9,14,44
1993,460,0.9500000000000001,13,27
1994,469,1.0,5,26
1995,167,0.0,136,197
1996,170,0.05,119,211
1997,210,0.1,120,170
1998,213,0.15000000000000002,131,156
1999,224,0.2,111,165
2000,255,0.25,96,149
2001,257,0.30000000000000004,102,141
2002,269,0.35000000000000003,93,138
2003,275,0.4,103,122
2004,278,0.45,83,139
2005,311,0.5,81,108
2006,331,0.55,62,107
2007,342,0.6000000000000001,55,103
2008,366,0.65,44,90
2009,372,0.7000000000000001,52,76
2010,401,0.75,36,63
2011,419,0.8,23,58
2012,439,0.8500000000000001,19,42
2013,452,0.9,23,25
2014,464,0.9500000000000001,11,25
2015,465,1.0,11,24
2016,169,0.0,139,192
2017,180,0.05,123,197
2018,198,0.1,128,174
2019,217,0.15000000000000002,114,169
2020,235,0.2,118,147
2021,232,0.25,111,157
2022,243,0.30000000000000004,113,144
2023,275,0.35000000000000003,83,142
2024,290,0.4,81,129
2025,311,0.45,74,115
2026,304,0.5,79,117
2027,328,0.55,68,104
2028,354,0.6000000000000001,49,97
2029,368,0.65,45,87
2030,389,0.7000000000000001,45,66
2031,413,0.75,31,56
2032,404,0.8,42,54
2033,423,0.8500000000000001,26,51
2034,439,0.9,18,43
2035,447,0.9500000000000001,15,38
2036,479,1.0,3,18
2037,185,0.0,131,184
2038,191,0.05,137,172
2039,173,0.1,125,202
2040,216,0.15000000000000002,107,177
2041,229,0.2,107,164
2042,262,0.25,102,136
2043,253,0.30000000000000004,100,147
2044,275,0.35000000000000003,84,141
2045,280,0.4,95,125
2046,295,0.45,89,116
2047,329,0.5,68,103
2048,334,0.55,64,102
2049,338,0.6000000000000001,64,98
2050,367,0.65,38,95
2051,374,0.7000000000000001,46,80
2052,391,0.75,36,73
2053,414,0.8,32,54
2054,428,0.8500000000000001,21,51
2055,431,0.9,25,44
2056,458,0.9500000000000001,13,29
2057,466,1.0,10,24
2058,159,0.0,130,211
2059,176,0.05,129,195
2060,208,0.1,110,182
2061,199,0.15000000000000002,118,183
2062,233,0.2,96,171
2063,262,0.25,84,154
2064,279,0.30000000000000004,92,129
2065,296,0.35000000000000003,87,117
2066,291,0.4,89,120
2067,306,0.45,77,117
2068,311,0.5,75,114
2069,329,0.55,72,99
2070,359,0.6000000000000001,57,84
2071,375,0.65,51,74
2072,380,0.7000000000000001,42,78
2073,374,0.75,42,84
2074,408,0.8,37,55
2075,421,0.8500000000000001,23,56
2076,454,0.9,12,34
2077,468,0.9500000000000001,7,25
2078,469,1.0,6,25
2079,161,0.0,140,199
2080,169,0.05,148,183
2081,211,0.1,113,176
2082,221,0.15000000000000002,119,160
2083,229,0.2,131,140
2084,257,0.25,102,141
2085,268,0.30000000000000004,96,136
2086,264,0.35000000000000003,105,131
2087,279,0.4,97,124
2088,310,0.45,67,123
2089,319,0.5,81,100
2090,340,0.55,53,107
2091,350,0.6000000000000001,58,92
2092,380,0.65,55,65
2093,399,0.7000000000000001,33,68
2094,395,0.75,56,49
2095,412,0.8,25,63
2096,437,0.8500000000000001,29,34
2097,440,0.9,26,34
2098,455,0.9500000000000001,13,32
2099,466,1.0,6,28
