READ SERR 1
@789/789-3.pco
!
0.100062184 6.21847212E-5 2.7593348
0.100186631 6.22620573E-5 2.75933456
0.100311235 6.23394953E-5 2.75933433
0.100435987 6.24170207E-5 2.75933409
0.100560904 6.24946479E-5 2.75933385
0.100685969 6.25723769E-5 2.75933385
0.100811191 6.26501933E-5 2.75933361
0.100936569 6.27281115E-5 2.75933337
0.101062104 6.28061316E-5 2.75933313
0.101187795 6.2884239E-5 2.7593329
0.101313643 6.29624483E-5 2.75933266
0.10143964 6.30407521E-5 2.75933266
0.101565801 6.31191579E-5 2.75933242
0.101692118 6.31976582E-5 2.75933218
0.101818591 6.32762603E-5 2.75933194
0.101945229 6.33549571E-5 2.7593317
0.102072015 6.34337484E-5 2.75933146
0.102198958 6.35126416E-5 2.75933146
0.102326065 6.35916294E-5 2.75933123
0.102453329 6.36707191E-5 2.75933099
0.102580748 6.37499033E-5 2.75933075
0.102708325 6.38291895E-5 2.75933051
0.102836065 6.39085774E-5 2.75933027
0.102963962 6.398806E-5 2.75933027
0.103092015 6.40676371E-5 2.75933003
0.103220232 6.41473234E-5 2.7593298
0.103348605 6.4227097E-5 2.75932956
0.103477143 6.43069798E-5 2.75932932
0.103605837 6.43869571E-5 2.75932908
0.103734687 6.44670363E-5 2.75932908
0.103863701 6.45472101E-5 2.75932884
0.103992879 6.4627493E-5 2.7593286
0.104122214 6.47078632E-5 2.75932837
0.104251713 6.47883426E-5 2.75932813
0.104381368 6.48689165E-5 2.75932789
0.104511186 6.49495996E-5 2.75932765
0.104641162 6.50303773E-5 2.75932741
0.104771309 6.51112496E-5 2.75932741
0.104901612 6.5192231E-5 2.75932717
0.105032079 6.5273307E-5 2.75932693
0.105162703 6.53544921E-5 2.7593267
0.10529349 6.54357718E-5 2.75932646
0.105424449 6.55171534E-5 2.75932622
0.105555564 6.55986369E-5 2.75932598
0.105686843 6.56802222E-5 2.75932574
0.105818287 6.57619094E-5 2.7593255
0.105949886 6.58436984E-5 2.7593255
0.106081657 6.5925582E-5 2.75932527
0.106213592 6.60075748E-5 2.75932503
0.106345691 6.60896694E-5 2.75932479
0.106477953 6.61718659E-5 2.75932455
0.106610373 6.62541643E-5 2.75932431
0.106742963 6.63365645E-5 2.75932407
0.106875725 6.64190666E-5 2.75932384
0.107008643 6.65016705E-5 2.7593236
0.107141726 6.65843763E-5 2.75932336
0.107274979 6.66671913E-5 2.75932336
0.107408397 6.67501008E-5 2.75932312
0.107541978 6.68331195E-5 2.75932288
0.107675731 6.691624E-5 2.75932264
0.107809648 6.69994624E-5 2.7593224
0.107943729 6.70827867E-5 2.75932217
0.108077981 6.71662201E-5 2.75932193
0.108212397 6.72497554E-5 2.75932169
0.108346976 6.73333925E-5 2.75932145
0.108481728 6.74171315E-5 2.75932121
0.108616643 6.75009796E-5 2.75932097
0.108751729 6.75849296E-5 2.75932074
0.108886987 6.76689888E-5 2.7593205
0.109022409 6.77531425E-5 2.75932026
0.109157994 6.78374054E-5 2.75932002
0.109293759 6.79217774E-5 2.75931978
0.109429687 6.80062512E-5 2.75931978
0.10956578 6.80908342E-5 2.75931954
0.109702051 6.81755118E-5 2.75931931
0.109838486 6.82603059E-5 2.75931907
0.109975092 6.83452017E-5 2.75931883
0.110111862 6.84301995E-5 2.75931859
0.110248812 6.85153063E-5 2.75931835
0.110385925 6.86005151E-5 2.75931811
0.110523216 6.8685833E-5 2.75931787
0.110660672 6.877126E-5 2.75931764
0.110798299 6.88567889E-5 2.7593174
0.110936098 6.89424269E-5 2.75931716
0.111074068 6.9028174E-5 2.75931692
0.111212209 6.91140231E-5 2.75931668
0.111350521 6.91999812E-5 2.75931644
0.111489013 6.92860413E-5 2.75931621
0.111627668 6.93722104E-5 2.75931597
0.111766502 6.94584887E-5 2.75931573
0.1119055 6.95448762E-5 2.75931549
0.112044677 6.96313655E-5 2.75931525
0.112184025 6.97179712E-5 2.75931501
0.112323552 6.98046788E-5 2.75931478
0.112463243 6.98914882E-5 2.75931454
0.112603113 6.99784141E-5 2.7593143
0.112743162 7.00654491E-5 2.75931406
0.112883382 7.0152586E-5 2.75931382
0.113023773 7.0239832E-5 2.75931358
0.113164335 7.03271944E-5 2.75931334
0.113305077 7.04146587E-5 2.75931311
0.113445997 7.05022321E-5 2.75931287
0.113587089 7.05899147E-5 2.75931263
0.113728359 7.06777064E-5 2.75931239
0.113869801 7.07656072E-5 2.75931215
0.114011422 7.08536172E-5 2.75931191
0.114153214 7.09417363E-5 2.75931168
0.114295185 7.10299719E-5 2.75931144
0.114437334 7.11183093E-5 2.7593112
0.114579663 7.12067558E-5 2.75931072
0.114722162 7.12953188E-5 2.75931048
0.114864841 7.13839909E-5 2.75931025
0.115007699 7.14727648E-5 2.75931001
0.115150735 7.15616552E-5 2.75930977
0.115293942 7.1650662E-5 2.75930953
0.115437336 7.17397706E-5 2.75930929
0.115580902 7.18289957E-5 2.75930905
0.115724653 7.19183226E-5 2.75930882
0.115868576 7.20077733E-5 2.75930858
0.116012685 7.20973258E-5 2.75930834
0.116156965 7.21869947E-5 2.7593081
0.116301432 7.22767727E-5 2.75930786
0.11644607 7.23666599E-5 2.75930762
0.116590895 7.24566635E-5 2.75930738
0.116735898 7.25467762E-5 2.75930691
0.116881087 7.26370054E-5 2.75930667
0.117026448 7.27273436E-5 2.75930643
0.117171995 7.28177911E-5 2.75930619
0.117317721 7.29083549E-5 2.75930595
0.117463626 7.29990279E-5 2.75930572
0.117609717 7.30898173E-5 2.75930548
0.117755987 7.31807231E-5 2.75930524
0.117902435 7.32717381E-5 2.759305
0.11804907 7.33628622E-5 2.75930476
0.118195891 7.34541027E-5 2.75930429
0.118342891 7.35454596E-5 2.75930405
0.11849007 7.36369257E-5 2.75930381
0.118637435 7.37285081E-5 2.75930357
0.118784986 7.3820207E-5 2.75930333
0.118932717 7.39120151E-5 2.75930309
0.119080633 7.40039395E-5 2.75930285
0.119228736 7.40959731E-5 2.75930262
0.119377017 7.41881304E-5 2.75930214
0.119525485 7.42803968E-5 2.7593019
0.119674139 7.43727796E-5 2.75930166
0.119822979 7.44652789E-5 2.75930142
0.119971998 7.45578873E-5 2.75930119
0.120121211 7.46506121E-5 2.75930095
0.120270602 7.47434606E-5 2.75930071
0.120420188 7.48364182E-5 2.75930023
0.120569952 7.49294923E-5 2.75929999
0.120719902 7.50226754E-5 2.75929976
0.120870039 7.51159823E-5 2.75929952
0.121020369 7.52094056E-5 2.75929928
0.121170878 7.53029453E-5 2.75929904
0.121321581 7.53965942E-5 2.75929856
0.121472463 7.54903667E-5 2.75929832
0.121623538 7.55842557E-5 2.75929809
0.1217748 7.56782611E-5 2.75929785
0.121926256 7.57723756E-5 2.75929761
0.12207789 7.58666138E-5 2.75929737
0.122229718 7.59609684E-5 2.75929689
0.122381739 7.60554394E-5 2.75929666
0.12253394 7.61500341E-5 2.75929642
0.122686334 7.6244738E-5 2.75929618
0.122838922 7.63395656E-5 2.75929594
0.122991696 7.64345095E-5 2.75929546
0.123144656 7.65295699E-5 2.75929523
0.123297811 7.66247467E-5 2.75929499
0.123451158 7.67200472E-5 2.75929475
0.123604693 7.68154641E-5 2.75929427
0.12375842 7.69109974E-5 2.75929403
0.123912334 7.70066545E-5 2.75929379
0.12406645 7.71024279E-5 2.75929356
0.124220744 7.71983177E-5 2.75929332
0.124375239 7.7294324E-5 2.75929284
0.124529928 7.73904612E-5 2.7592926
