,4546090,3498614,5384790,3687884,4982607,2142172
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.44691,0.99866,0.947,1.0,0.69813,1.0
2,0.68841,1.0,0.947,1.0,1.0,1.0
3,0.9083,1.0,0.947,1.0,1.0,1.0
4,1.0,1.0,0.947,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0
